"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000185000",1136.12917994372,-0.144236071132521,0.0605790515299655,-2.38095624625577,0.0172677628086807,0.190944362154733,"DGAT1"
"ENSG00000278540",3935.30880928755,0.0854376850505132,0.0460542547034112,1.85515291911096,0.0635743926859095,0.300711782877679,"ACACA"
"ENSG00000165029",1480.1707857421,0.221197126774859,0.122704602176541,1.8026799553664,0.0714384919494277,0.315784667564859,"ABCA1"
"ENSG00000177666",1323.38915063207,-0.0939699786136349,0.0537427364573281,-1.74851495863534,0.0803748976716029,0.327908578576997,"PNPLA2"
"ENSG00000072310",4385.41448833253,-0.158504560178814,0.11595579862304,-1.36693948953856,0.171644272911185,0.462685574371091,"SREBF1"
"ENSG00000119927",2154.98274487741,0.124419282872234,0.101424563601173,1.22671745832185,0.219928803604025,0.516448331830862,"GPAM"
"ENSG00000169710",7201.07901403254,-0.0586750954505572,0.0555540060197749,-1.05618117673946,0.290885448808859,0.581143749670791,"FASN"
"ENSG00000075239",1910.46287910336,0.0309083661634044,0.0323441076860895,0.955610414836005,0.339269097740937,0.628083611302159,"ACAT1"
"ENSG00000198911",10907.3166572794,-0.0399065455057309,0.0484490109630392,-0.823681324189979,0.410120653774096,0.684551154992674,"SREBF2"
"ENSG00000110090",1966.73440964548,0.0780359766008095,0.0998826034488234,0.781276958212173,0.434639619124256,0.703356862015045,"CPT1A"
"ENSG00000112972",2583.96362314906,0.0736887551591234,0.122560925065824,0.601241832333976,0.54767892579239,0.778225844298493,"HMGCS1"
"ENSG00000204310",1227.08381834607,0.0141401767061958,0.0382513785223447,0.369664499749618,0.711632486019352,0.873554176852947,"AGPAT1"
"ENSG00000134324",3439.05959165041,0.006972132421384,0.0502394119199978,0.13877814558193,0.889625464152209,0.958311577196325,"LPIN1"
"ENSG00000064687",741.913715221309,-0.210414298590469,0.0997325914166422,-2.10978473136674,0.0348769022152558,NA,"ABCA7"
"ENSG00000147872",768.865585760434,0.0796598301068161,0.136984026456914,0.581526417110187,0.560885719246265,NA,"PLIN2"
