"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.050446581927678,0.392124000576996,0.695918048006341,0.833211058182382
"MCBB_Temporal cortex_M",-0.0623820622171998,-0.403283488563371,0.687879758181765,0.999956554806702
"MCBB_Cerebellum_F",0.246488363541632,1.70067427595565,0.0925497137929363,0.284062780703608
"MCBB_Cerebellum_M",0.228802248715802,1.4332035589073,0.155853705942201,0.832434914195367
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0259629263936674,-0.308504006331953,0.758103300953714,0.866798472226589
"ROSMAP_Dorsolateral prefrontal cortex_M",0.172782431267488,1.71045236251237,0.0907253754813614,0.329576946429938
"MSBB_BM10_F",0.0247845601811205,0.144268114191125,0.88558806569715,0.999258063668231
"MSBB_BM10_M",0.0148568792876942,0.0625060085686445,0.950384779998885,0.999879428127496
"MSBB_BM22_F",0.113480774183836,0.710787334898262,0.478923373987869,0.606431167347951
"MSBB_BM22_M",0.417514534257085,1.81789349799065,0.0740621222106699,0.295978378552532
"MSBB_BM36_F",0.0999750629184248,0.415963537700278,0.678290923957489,0.830564594347599
"MSBB_BM36_M",0.132982956287382,0.424968860613915,0.672292159403438,0.999848693168489
"MSBB_BM44_F",-0.0453954948952173,-0.327513889771583,0.744139820231147,0.921274319424444
"MSBB_BM44_M",0.116309863103448,0.569386409567755,0.571555039526888,0.809840136632452
