"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0444634044036896,0.81744464063041,0.415889968688833,0.630265847749599
"MCBB_Temporal cortex_M",0.12401137462917,2.30734487894226,0.0237785569090974,0.999956554806702
"MCBB_Cerebellum_F",-0.122953428468819,-1.99484809672816,0.0491660424267455,0.20793626412454
"MCBB_Cerebellum_M",-0.027484619614655,-0.376041144946891,0.707921947994018,0.943361486709762
"ROSMAP_Dorsolateral prefrontal cortex_F",0.00647195580528148,0.146890592823932,0.883404751811092,0.938745013295982
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0787302904947191,-1.37086622945491,0.173922370592134,0.424498178682317
"MSBB_BM10_F",-0.119631331813775,-1.46055140498919,0.147370065039501,0.999258063668231
"MSBB_BM10_M",0.04751204816659,0.346840021027277,0.730025143707669,0.999879428127496
"MSBB_BM22_F",-0.268388823984513,-2.5788684052294,0.0114162058707188,0.046063330326041
"MSBB_BM22_M",-0.143187079203418,-1.1945190175445,0.236964990762991,0.494964008954055
"MSBB_BM36_F",-0.0218442111077408,-0.178260690824359,0.858863867300883,0.928989562637575
"MSBB_BM36_M",-0.107989215839126,-0.63595273587809,0.527086664093612,0.999848693168489
"MSBB_BM44_F",-0.0176536510812619,-0.151010169837747,0.880350075861722,0.967096107070437
"MSBB_BM44_M",-0.167706715090565,-1.30015159959669,0.199304813535356,0.582461814447874
