"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.0926723468369026,-1.48548178192076,0.141002696613269,0.361775570208657
"MCBB_Temporal cortex_M",0.0361214553325135,0.624362671229899,0.534272035669388,0.999956554806702
"MCBB_Cerebellum_F",-0.229197417567764,-3.34303980826735,0.00122020228967717,0.0555582361350644
"MCBB_Cerebellum_M",-0.166036515279913,-2.02338546470537,0.0465090289473688,0.832434914195367
"ROSMAP_Dorsolateral prefrontal cortex_F",0.128340035023519,2.00767450237755,0.0463743132717408,0.218237338859082
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.138240601855948,-1.5462214815475,0.125659954527931,0.370543036602419
"MSBB_BM10_F",-0.140471243591362,-1.00721847434384,0.316335710010327,0.999258063668231
"MSBB_BM10_M",-0.244633000327866,-1.09134259004564,0.279844379361656,0.999879428127496
"MSBB_BM22_F",-0.515914572638416,-2.9020160737074,0.00458979846818606,0.0277328435437957
"MSBB_BM22_M",-0.177191202878205,-0.876980232260374,0.383987252932584,0.631199528030629
"MSBB_BM36_F",-0.501742270113728,-2.44967513428058,0.0159630544204059,0.148320758056158
"MSBB_BM36_M",0.14681133074184,0.642454847451601,0.52288461658777,0.999848693168489
"MSBB_BM44_F",0.0921780941599479,0.784524381795744,0.435063123979641,0.78114380360695
"MSBB_BM44_M",-0.0523715136232985,-0.296379637947323,0.768125310965799,0.905469351589102
