"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.100350844250565,-1.40036382176958,0.16493298378084,0.390752823440952
"MCBB_Temporal cortex_M",-0.0160633205111447,-0.183526000948895,0.85487741353546,0.999956554806702
"MCBB_Cerebellum_F",-0.189999986317355,-2.07833772864333,0.040602217426858,0.190840037503694
"MCBB_Cerebellum_M",-0.0830868759898378,-1.01758323699,0.31206754551915,0.857784488989707
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0568423779956513,0.97665856848947,0.330224117532911,0.548099302768055
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0963338904929234,-1.23468680405357,0.220252126612629,0.474365040729764
"MSBB_BM10_F",-0.040209140223415,-0.477993093221958,0.633730567431604,0.999258063668231
"MSBB_BM10_M",0.0398608922689396,0.289203698047503,0.773504681632413,0.999879428127496
"MSBB_BM22_F",-0.416511029885087,-3.62657418028896,0.000460287713951564,0.0110074196691799
"MSBB_BM22_M",-0.143261744721444,-1.15139388924454,0.254127323002705,0.512957339540171
"MSBB_BM36_F",-0.252488713313762,-1.56768082281708,0.119983242776478,0.349708333066689
"MSBB_BM36_M",0.139508889538784,0.653689980401524,0.515665530639019,0.999848693168489
"MSBB_BM44_F",-0.170046763847309,-1.73158636380121,0.0872246990899678,0.483036441636231
"MSBB_BM44_M",-0.0814143779680867,-0.768280911261862,0.445809025556626,0.737378006522254
