"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.169061556039631,-1.06905478795522,0.287979113058185,0.522862935681997
"MCBB_Temporal cortex_M",0.137274557869821,0.66356310216139,0.508991577861342,0.999956554806702
"MCBB_Cerebellum_F",0.177398572564178,1.12190235748765,0.264967991364157,0.497781065964572
"MCBB_Cerebellum_M",0.146567659860176,0.956526440917982,0.341804407395656,0.862920104725076
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0608819277333366,-0.914019828573716,0.362092535046156,0.575058111325244
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0950712937677354,-1.01587447929482,0.312489621019419,0.557869801716421
"MSBB_BM10_F",-0.0613082512492937,-0.677768408776306,0.499532012607878,0.999258063668231
"MSBB_BM10_M",-0.00103762891337045,-0.0085031389944382,0.993246095376164,0.999879428127496
"MSBB_BM22_F",-0.367471857647037,-2.35586014732888,0.0204941122811899,0.065906741439542
"MSBB_BM22_M",-0.139158068827491,-0.713955794417746,0.478016395413317,0.704726653885725
"MSBB_BM36_F",-0.454915356660247,-2.7097552567414,0.00787266914057633,0.117635119132097
"MSBB_BM36_M",0.13512370941489,0.686031202696699,0.495184063674444,0.999848693168489
"MSBB_BM44_F",-0.127523086972817,-0.892779270085307,0.374668918392158,0.743464281169124
"MSBB_BM44_M",-0.158986858750179,-0.956527295631546,0.343249212883351,0.679759510541268
