"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.255459612407912,1.62149104101956,0.108502877941608,0.316761650272112
"MCBB_Temporal cortex_M",-0.0161305887615484,-0.131191434418828,0.895972903991317,0.999956554806702
"MCBB_Cerebellum_F",0.277252669771626,1.89137262389202,0.0618772002266321,0.232507850094685
"MCBB_Cerebellum_M",0.181667509126583,1.45928898484668,0.148559334659471,0.832434914195367
"ROSMAP_Dorsolateral prefrontal cortex_F",0.130996480777638,1.39665762829644,0.164466049370815,0.382922320880945
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.236990629786009,-1.95738116165468,0.0534896927934883,0.28496217974893
"MSBB_BM10_F",-0.0604039139582024,-0.718583080091387,0.474125195739021,0.999258063668231
"MSBB_BM10_M",0.0426297586266999,0.322735815116657,0.748109860596093,0.999879428127496
"MSBB_BM22_F",-0.217211818197731,-2.4309469617961,0.0168979919313519,0.0584343171957432
"MSBB_BM22_M",-0.0955153994536078,-0.868559161320685,0.388541331855587,0.634044159127467
"MSBB_BM36_F",0.00224243420120018,0.0194373204365353,0.984529356765061,0.993154582118476
"MSBB_BM36_M",-0.0689601794754475,-0.417916843730499,0.677414021268438,0.999848693168489
"MSBB_BM44_F",-0.0678016183371337,-0.838256483667849,0.404399022672536,0.762804665790867
"MSBB_BM44_M",-0.0276744853001896,-0.336225983430253,0.738058780834549,0.89285744846392
