"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.337195441604284,2.54705934162878,0.0126075298240056,0.103018677641578
"MCBB_Temporal cortex_M",0.238264110983193,1.52370488412578,0.131761273255909,0.999956554806702
"MCBB_Cerebellum_F",-0.119316372333795,-0.905993695830353,0.367423000146309,0.595004587879645
"MCBB_Cerebellum_M",-0.158688691430065,-0.955918194463838,0.342109660910864,0.862920104725076
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.229888580698749,-2.63191524844274,0.00932830187557466,0.135382968538471
"ROSMAP_Dorsolateral prefrontal cortex_M",0.17424912401412,1.53159558896877,0.129229454890574,0.374628645092478
"MSBB_BM10_F",-0.0280238411987375,-0.190958240932444,0.848957419234293,0.999258063668231
"MSBB_BM10_M",-0.312633439978536,-1.60876357133446,0.113350775021869,0.999879428127496
"MSBB_BM22_F",-0.0729412542442303,-0.628650389770996,0.531057034292988,0.65201000171092
"MSBB_BM22_M",0.0173722806119248,0.109560774971521,0.913122494777481,0.962199904696403
"MSBB_BM36_F",-0.106460506800175,-0.580239069986339,0.563004299008401,0.754673444457623
"MSBB_BM36_M",0.128804154927607,0.571824132908183,0.56945449615802,0.999848693168489
"MSBB_BM44_F",-0.0563544261980562,-0.574805970947979,0.567045074474497,0.850202070970747
"MSBB_BM44_M",0.0731480631788353,0.571417638188364,0.57018789836054,0.809209506107144
