"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.00782952997190289,-0.108542145137031,0.913813644604012,0.95735066465715
"MCBB_Temporal cortex_M",-0.036083390228181,-0.413014675204568,0.680766744487021,0.999956554806702
"MCBB_Cerebellum_F",0.000552449352701601,0.00599182328759244,0.995232861647824,0.997955395668587
"MCBB_Cerebellum_M",-0.000154565923873307,-0.00186986853853072,0.998512904864145,0.999927493828432
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0851579584253113,1.70741562532578,0.0896997347562887,0.284910603912848
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0590378841459271,0.927579496407632,0.356177045615136,0.600118919400362
"MSBB_BM10_F",-0.0441385324700443,-0.468671933511621,0.640355694168961,0.999258063668231
"MSBB_BM10_M",-0.07359335257404,-0.499916047393596,0.619113489362754,0.999879428127496
"MSBB_BM22_F",-0.0951316446317056,-0.898153685015286,0.371329890065249,0.506757918367247
"MSBB_BM22_M",0.162207279529281,1.18714944431871,0.239836813331476,0.498116789985624
"MSBB_BM36_F",0.0774636226876666,0.405654614695741,0.685826965973835,0.835556290668788
"MSBB_BM36_M",0.0990502301002771,0.417894356508242,0.677430378285231,0.999848693168489
"MSBB_BM44_F",0.00113218677988858,0.0161043638702847,0.987191465196996,0.996246128487008
"MSBB_BM44_M",0.125535767905715,1.52979046292379,0.13215337358151,0.543770160774194
