"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0264573339797458,0.298278678481725,0.7661961335857,0.874535678195088
"MCBB_Temporal cortex_M",0.0533209339771572,0.643910338086208,0.521585314704438,0.999956554806702
"MCBB_Cerebellum_F",-0.0183634686004233,-0.170255410442472,0.86520164774036,0.934497755467303
"MCBB_Cerebellum_M",0.0459839863181504,0.357907005295644,0.721393637423591,0.946573852761094
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.119878043915172,-1.30752389472704,0.192925266161471,0.414548348220542
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.232001375627036,-1.74420335335371,0.0846348889395236,0.324659969272869
"MSBB_BM10_F",0.127609299948157,0.89641956594207,0.372248009383731,0.999258063668231
"MSBB_BM10_M",-0.0542180235839309,-0.210227337435218,0.834261278132592,0.999879428127496
"MSBB_BM22_F",-0.0899280394389415,-0.774398749860067,0.440580447777509,0.571869552875503
"MSBB_BM22_M",-0.0371596993223609,-0.26198364099285,0.794229324424765,0.906071278869649
"MSBB_BM36_F",0.069896568757069,0.27701452948198,0.782316956664369,0.888268402769865
"MSBB_BM36_M",0.128824028147084,0.439661066544605,0.661671348490057,0.999848693168489
"MSBB_BM44_F",0.067392505798578,0.778122491596036,0.438805672782196,0.783638332170083
"MSBB_BM44_M",0.106243829154169,0.969758407893562,0.336673650137873,0.675466099780615
