"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.257694104150224,2.07026270396177,0.0413689637245991,0.193414928351108
"MCBB_Temporal cortex_M",0.375951822604263,2.162233417862,0.0337685512697328,0.999956554806702
"MCBB_Cerebellum_F",-0.0877756315107359,-0.985152940672848,0.327260581943942,0.558075506428752
"MCBB_Cerebellum_M",-0.0154499416220046,-0.151951492273675,0.879623225844694,0.979290375310193
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0372490108346346,-0.327761143942039,0.743524113043676,0.857575455048547
"ROSMAP_Dorsolateral prefrontal cortex_M",0.136044655846903,0.89088833175045,0.375431936593157,0.616415464297109
"MSBB_BM10_F",-0.0575701191672753,-0.559625636913944,0.577024771983532,0.999258063668231
"MSBB_BM10_M",0.0995289813071265,0.724037625582818,0.472088218158878,0.999879428127496
"MSBB_BM22_F",-0.100997989998572,-0.947150085993325,0.345918317053433,0.481301250551208
"MSBB_BM22_M",0.277040781703306,1.90980525173175,0.060931093437958,0.276415700148535
"MSBB_BM36_F",-0.216222047957641,-1.43544166810996,0.15415206310374,0.395771533545446
"MSBB_BM36_M",0.0969482013408003,0.438890693534636,0.662226537351635,0.999848693168489
"MSBB_BM44_F",-0.197506476118134,-1.57955286560501,0.11817869800746,0.531458547455077
"MSBB_BM44_M",0.269603020589926,1.4879513374773,0.142826848625385,0.549242266042536
