"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.041547749979034,-0.22097214266793,0.825627854532182,0.909232018888843
"MCBB_Temporal cortex_M",0.13622150477797,0.738806995197071,0.462315331731819,0.999956554806702
"MCBB_Cerebellum_F",0.0744006728491904,0.47016145639211,0.639407414022537,0.797892865930565
"MCBB_Cerebellum_M",0.0159269769842414,0.10665115279355,0.915343531707981,0.986915009180553
"ROSMAP_Dorsolateral prefrontal cortex_F",0.08262370982367,0.618323724764695,0.537248069352111,0.717299456658498
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.552674715148402,-2.71747815568446,0.00792883845885683,0.203493381214747
"MSBB_BM10_F",-0.161123086962466,-1.00933672448483,0.315324303270646,0.999258063668231
"MSBB_BM10_M",0.0610546286627143,0.339217329880635,0.735728144590376,0.999879428127496
"MSBB_BM22_F",-0.492489324744771,-2.51325831828108,0.0136118277606385,0.0512061155281739
"MSBB_BM22_M",-0.374936553749396,-1.7479275398071,0.0855803443539276,0.313762811249692
"MSBB_BM36_F",-0.30036556868451,-1.27384672311333,0.205547750131934,0.455398152138118
"MSBB_BM36_M",0.0434210779899002,0.184941454019826,0.853862805557176,0.999848693168489
"MSBB_BM44_F",0.0290426671759159,0.12696915571122,0.899285288465093,0.974199601531022
"MSBB_BM44_M",-0.250403430011422,-0.954809079161584,0.344109282659906,0.680226116400439
