"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.153279872492563,2.30295773454599,0.0236478576854606,0.142786369951626
"MCBB_Temporal cortex_M",0.109724314564816,1.33977417729032,0.184338352105826,0.999956554806702
"MCBB_Cerebellum_F",0.0777743403945133,1.33454715780771,0.18548111210543,0.409407047368583
"MCBB_Cerebellum_M",0.103005276175405,1.28370119528634,0.203101930589326,0.832434914195367
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.039905448310555,-0.723621455133092,0.470363067094042,0.66734545898147
"ROSMAP_Dorsolateral prefrontal cortex_M",0.116984129941002,1.74501231352949,0.0844931416775497,0.324447174376855
"MSBB_BM10_F",0.0123054194840515,0.204396024493708,0.83847227965881,0.999258063668231
"MSBB_BM10_M",-0.0122753598001264,-0.146126169490271,0.884352041185122,0.999879428127496
"MSBB_BM22_F",-0.0963985613143574,-1.49821078869649,0.137329147261855,0.248437942862506
"MSBB_BM22_M",0.0721479539460477,0.975649992777376,0.333146245148425,0.589581892527328
"MSBB_BM36_F",0.0719635803675693,1.19014440219981,0.236690314936244,0.488959182988664
"MSBB_BM36_M",0.0188922600451047,0.217059833662481,0.82885576045233,0.999848693168489
"MSBB_BM44_F",-0.065576231614461,-1.07264238567421,0.286675695393303,0.688429157464135
"MSBB_BM44_M",0.0297687615530196,0.39465180199927,0.694720264814019,0.871249063934317
