"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.11861603153682,2.19768898057691,0.0306064738985021,0.163949641288337
"MCBB_Temporal cortex_M",-0.0306357708191429,-0.474307656770998,0.63664977193993,0.999956554806702
"MCBB_Cerebellum_F",0.112047174961373,2.31112864935446,0.0231722280414436,0.150267413072013
"MCBB_Cerebellum_M",0.0586889298727904,0.982196802155686,0.3290836348943,0.861983007016567
"ROSMAP_Dorsolateral prefrontal cortex_F",0.13249902804503,2.61475076775703,0.00978941191367016,0.137783335589526
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0386670516150573,-0.497321369093939,0.620209703115577,0.795738982948681
"MSBB_BM10_F",-0.0267913775769832,-0.356182006123799,0.722477780534402,0.999258063668231
"MSBB_BM10_M",0.0518245049532311,0.452318765185809,0.65280502402699,0.999879428127496
"MSBB_BM22_F",-0.167436919163637,-1.93113413172003,0.0563888589978428,0.131877991624976
"MSBB_BM22_M",0.195924145189775,2.07253831771817,0.0425095996739356,0.246484045449297
"MSBB_BM36_F",0.0559325268064628,0.409094993755682,0.683308403375281,0.834118545191062
"MSBB_BM36_M",-0.0473597264053547,-0.260807360932506,0.795082770544126,0.999848693168489
"MSBB_BM44_F",-0.101488669017709,-1.69028212509111,0.0948902519177189,0.497078524052082
"MSBB_BM44_M",0.106258421678556,1.22477502883885,0.226200941682217,0.605466559285729
