"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.497657397001855,3.48147132050557,0.000779644238390165,0.022787690181903
"MCBB_Temporal cortex_M",0.0394354107057815,0.180856228003186,0.856965142669793,0.999956554806702
"MCBB_Cerebellum_F",0.0437512210771649,0.297826677024654,0.766540245128076,0.878492177995437
"MCBB_Cerebellum_M",-0.215924169123476,-1.30195643140094,0.196818496879242,0.832434914195367
"ROSMAP_Dorsolateral prefrontal cortex_F",0.219640104645966,1.64798082660548,0.101334361796652,0.302617134097631
"ROSMAP_Dorsolateral prefrontal cortex_M",0.382172650636936,2.47947457982186,0.0150739954206033,0.224764123263713
"MSBB_BM10_F",-0.106680106709627,-0.626400780981837,0.532523440048583,0.999258063668231
"MSBB_BM10_M",-0.150628677190914,-0.731279536172261,0.467689380118679,0.999879428127496
"MSBB_BM22_F",-0.153222668289577,-0.702245549906586,0.484209502341806,0.611537391023105
"MSBB_BM22_M",0.0928482242919308,0.411331999998125,0.682291310043942,0.841776984456575
"MSBB_BM36_F",0.282319648482491,1.42987227238507,0.155741009312898,0.397020297263734
"MSBB_BM36_M",-0.206561689009571,-0.894694250783201,0.37432035819629,0.999848693168489
"MSBB_BM44_F",0.121567356931131,0.590454398233779,0.556560222425825,0.847019604049921
"MSBB_BM44_M",0.193235095103923,1.0751395683113,0.287295006645567,0.645237626412158
