"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.32363928548971,3.21007895180358,0.00185489525735871,0.0378967670052898
"MCBB_Temporal cortex_M",0.148662132754195,1.23859436376563,0.219333753628583,0.999956554806702
"MCBB_Cerebellum_F",0.18309556034582,1.71287934938442,0.0902700913567434,0.280393977533259
"MCBB_Cerebellum_M",0.016568501336903,0.200854911939316,0.84134242187442,0.972758124679361
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0860261057980436,1.14871451769013,0.252401556919721,0.477139880354878
"ROSMAP_Dorsolateral prefrontal cortex_M",0.00761797696308397,0.0719637303049774,0.942794989499337,0.97347181696041
"MSBB_BM10_F",-0.081270139421461,-1.10588005491157,0.271513644307114,0.999258063668231
"MSBB_BM10_M",-0.139221741266481,-1.34139808758846,0.185262748145667,0.999879428127496
"MSBB_BM22_F",-0.171429922867483,-1.90598183322259,0.0596162278861195,0.137058325986067
"MSBB_BM22_M",-0.0409038214466646,-0.363801668748489,0.71728199065525,0.861812216498698
"MSBB_BM36_F",-0.0805369364400228,-0.694621819036785,0.488836078865784,0.705230080269293
"MSBB_BM36_M",-0.0969681313512423,-0.650764025520142,0.517540478481743,0.999848693168489
"MSBB_BM44_F",0.281246147435686,3.24617102675448,0.00171291472114938,0.170445355333375
"MSBB_BM44_M",0.0248706088462773,0.24506450600783,0.807374813406918,0.923463542993461
