"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.0116463032572138,-0.125467065659599,0.900441011559873,0.950444419154911
"MCBB_Temporal cortex_M",0.0797450474674335,0.707109095778114,0.481676008793716,0.999956554806702
"MCBB_Cerebellum_F",0.0914009491955801,1.38678509841012,0.169024163893147,0.38830014180768
"MCBB_Cerebellum_M",0.00109965025402303,0.0141427168062228,0.988752756065419,0.998503793815601
"ROSMAP_Dorsolateral prefrontal cortex_F",0.095199493445115,1.45002422116463,0.149024528281545,0.364208871707573
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.191198901560231,-1.84425542918435,0.0685295767812493,0.305908597867381
"MSBB_BM10_F",-0.0846177939103248,-0.716344308866147,0.475499868356867,0.999258063668231
"MSBB_BM10_M",0.0355884241982052,0.242583281908942,0.809223811678333,0.999879428127496
"MSBB_BM22_F",-0.512755177077709,-3.0630448267,0.00283668752661972,0.022275702372015
"MSBB_BM22_M",-0.409206185199162,-2.09904279785227,0.040019424030098,0.242449646430682
"MSBB_BM36_F",-0.244209560105588,-1.42966020066348,0.155801761562901,0.39704245506102
"MSBB_BM36_M",-0.0416440787918546,-0.239274608150138,0.811661218339999,0.999848693168489
"MSBB_BM44_F",-0.0663435690018863,-0.405238170960885,0.686390501542326,0.901613433945009
"MSBB_BM44_M",-0.302163458399513,-1.69207328366085,0.0966402208463776,0.517128282759464
