"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.0829784599297314,-0.566071022581668,0.572791373177605,0.752025347235089
"MCBB_Temporal cortex_M",0.0139142073078959,0.0780955808633727,0.937958672047115,0.999956554806702
"MCBB_Cerebellum_F",-0.482447407940131,-2.99751252884742,0.00354068539604691,0.0757460998013144
"MCBB_Cerebellum_M",-0.0139475617464706,-0.077986433614737,0.938041450550299,0.990453370697238
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0610356118839555,-0.665917981884582,0.50642998446577,0.693663267286193
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0688216225531049,-0.535472900341497,0.593681142602255,0.778103971881724
"MSBB_BM10_F",0.202975056574063,1.23257474854199,0.220713512592039,0.999258063668231
"MSBB_BM10_M",-0.25298988919827,-0.944497201699164,0.349015481980651,0.999879428127496
"MSBB_BM22_F",0.162453164850362,0.961452070249103,0.338717961558882,0.474326681152496
"MSBB_BM22_M",-0.147172758066518,-0.690162383196431,0.492747020615085,0.71643323707444
"MSBB_BM36_F",0.401850336681147,1.52596223593614,0.13004463992705,0.364776011991343
"MSBB_BM36_M",-0.0124945803070027,-0.0370161184111241,0.970587967861279,0.999848693168489
"MSBB_BM44_F",0.54174111628162,3.64909429592658,0.000468862109962088,0.132183595152493
"MSBB_BM44_M",-0.0428584412197202,-0.243305664014838,0.808729630754703,0.923778979521358
