"","gene","MCBB_Temporal.cortex_F","MCBB_Temporal.cortex_M","MCBB_Cerebellum_F","MCBB_Cerebellum_M","ROSMAP_Dorsolateral.prefrontal.cortex_F","ROSMAP_Dorsolateral.prefrontal.cortex_M","MSBB_BM10_F","MSBB_BM10_M","MSBB_BM22_F","MSBB_BM22_M","MSBB_BM36_F","MSBB_BM36_M","MSBB_BM44_F","MSBB_BM44_M"
"1","ACACA",NA,NA,NA,NA,NA,NA,NA,NA,-0.268845003975313,NA,NA,NA,NA,NA
"2","FASN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GPAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AGPAT1",NA,NA,NA,NA,NA,NA,NA,NA,-0.515914572638416,NA,NA,NA,NA,NA
"5","LPIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DGAT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PLIN2",0.497657397001855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABCA1",0.470266472932001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABCA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","SREBF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","SREBF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PNPLA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CPT1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ACAT1",NA,NA,NA,NA,NA,NA,NA,NA,-0.268388823984513,NA,NA,NA,NA,NA
"15","HMGCS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CDS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CDS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PLPP1",0.32363928548971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PLPP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CDIPT",NA,NA,NA,NA,NA,NA,NA,NA,-0.416511029885087,NA,NA,NA,NA,NA
"21","CEPT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PTDSS1",NA,NA,NA,NA,NA,NA,NA,NA,-0.512755177077709,NA,NA,NA,NA,NA
"23","PGS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
