"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0106972411292103,0.0787701041689746,0.93739705292723,0.970408077296533
"MCBB_Temporal cortex_M",-0.0867611887504229,-0.533890707976981,0.595006950888912,0.999673220293587
"MCBB_Cerebellum_F",0.21704427385537,1.44086175814087,0.153227682814531,0.404184195544907
"MCBB_Cerebellum_M",0.211736067289815,1.29124025459488,0.200540092991159,0.873934480098454
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0236807491952975,-0.276159771337648,0.782786798484257,0.884295699455119
"ROSMAP_Dorsolateral prefrontal cortex_M",0.175664205369901,1.70707050973864,0.0913957025262365,0.363993854669422
"MSBB_BM10_F",0.0943887017053537,0.531401959474747,0.596367811633627,0.97103725777407
"MSBB_BM10_M",0.0861584581034491,0.342522036909152,0.73327819109892,0.99982029157794
"MSBB_BM22_F",0.167548940961623,0.998326241356216,0.32063271833342,0.456336289516327
"MSBB_BM22_M",0.424888564613128,1.74736099187001,0.0857698803618278,0.385425721407765
"MSBB_BM36_F",0.188972777597852,0.770265924147635,0.442899319324167,0.668925571510342
"MSBB_BM36_M",0.333576021349207,1.02331086803945,0.310095147489066,0.988313657554056
"MSBB_BM44_F",0.0498689278189515,0.342762121437079,0.732693414632038,0.93188622563093
"MSBB_BM44_M",0.206959489628313,0.969019698467895,0.33712837357098,0.741764789013695
