"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0482876777658161,0.62224862571825,0.53541190615242,0.743722777414968
"MCBB_Temporal cortex_M",0.0495572131579136,0.600822900900027,0.549781923019078,0.999673220293587
"MCBB_Cerebellum_F",0.153910790236203,2.0066436077307,0.0479054193318341,0.24977988379546
"MCBB_Cerebellum_M",0.195070400723028,1.91530072111333,0.0592223330578648,0.873934480098454
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0903035085746984,1.47115522017879,0.143241030807152,0.382919491602685
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0842271868811606,-0.899044574254113,0.371124386363309,0.627879141580698
"MSBB_BM10_F",-0.114755866305664,-1.59010942432729,0.115098335139568,0.930553694393165
"MSBB_BM10_M",0.119535527454028,1.29314427039396,0.201426641330093,0.99982029157794
"MSBB_BM22_F",-0.291679574269174,-3.14533603330483,0.0022092258415635,0.0181061877665981
"MSBB_BM22_M",-0.121238380262258,-1.05181627003547,0.297166222269724,0.598051647471741
"MSBB_BM36_F",-0.143728841695664,-1.47530713252315,0.143170028389076,0.381468647816166
"MSBB_BM36_M",0.0135579647093085,0.127265157427094,0.899138042600649,0.996205444849405
"MSBB_BM44_F",-0.125294683196755,-1.25611617126763,0.212798775154935,0.728628044639323
"MSBB_BM44_M",-0.0428932575998813,-0.474502497566031,0.637175912496861,0.874217064567325
