"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0143425414714082,0.157963081058059,0.874853320614113,0.943088408026554
"MCBB_Temporal cortex_M",0.063671498454128,0.582123188053555,0.562241600033557,0.999673220293587
"MCBB_Cerebellum_F",0.238545824095602,2.48917626517696,0.0147151035615725,0.177300872523179
"MCBB_Cerebellum_M",0.202620263081162,1.62300501740879,0.108735845010273,0.873934480098454
"ROSMAP_Dorsolateral prefrontal cortex_F",0.105842819691517,1.7526910120058,0.0815977121093011,0.304890442065271
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.128269931669856,-1.37369011298252,0.173086946062844,0.448963268373182
"MSBB_BM10_F",0.027259963348607,0.311473295140467,0.756116290343529,0.986185079134375
"MSBB_BM10_M",0.0472195125885566,0.392201506979554,0.69644195581706,0.99982029157794
"MSBB_BM22_F",-0.326205706511789,-2.96760896830546,0.00378925655547984,0.0233641194666694
"MSBB_BM22_M",-0.267591281990358,-2.00859839556972,0.0491563915201048,0.349136138965189
"MSBB_BM36_F",-0.094890883805288,-0.883174645759152,0.379191649036876,0.619168159714348
"MSBB_BM36_M",-0.196201868057177,-1.32494032080297,0.190002121438741,0.988313657554056
"MSBB_BM44_F",-0.060409563020098,-0.551080669048464,0.58314323037183,0.884942888965616
"MSBB_BM44_M",-0.191247514722431,-1.51281414342872,0.136526280868042,0.664333924807012
