"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.238499108018948,1.43043988953479,0.156186006056076,0.414338265704423
"MCBB_Temporal cortex_M",-0.0401476264744165,-0.311424048989486,0.75634824669843,0.999673220293587
"MCBB_Cerebellum_F",0.278864822030165,1.82759375158866,0.0710526296679229,0.290966013989407
"MCBB_Cerebellum_M",0.160761416688041,1.25930451455722,0.211780287929669,0.873934480098454
"ROSMAP_Dorsolateral prefrontal cortex_F",0.127140243079629,1.33249940374642,0.184617634443279,0.429121913650219
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.231850556770652,-1.87551619975822,0.0640946100282894,0.329525531412465
"MSBB_BM10_F",-0.0903607821294159,-1.03509981341426,0.303222924666356,0.946046629797235
"MSBB_BM10_M",0.061331229664126,0.434308297407875,0.665782635709764,0.99982029157794
"MSBB_BM22_F",-0.277051573845839,-2.99121018896942,0.00353160009390048,0.0226989538605793
"MSBB_BM22_M",-0.0385529915246901,-0.338819241619121,0.735946978407354,0.886265444298742
"MSBB_BM36_F",-0.0614363189190277,-0.521888498333253,0.602864686028699,0.780629951408852
"MSBB_BM36_M",-0.108712786956078,-0.609560065566956,0.544357206200215,0.988313657554056
"MSBB_BM44_F",-0.0923635934647011,-1.06497693838732,0.290150618086727,0.765438829887745
"MSBB_BM44_M",-0.0135785026453004,-0.154810559330395,0.877584373762693,0.963383835487655
