"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.22402892883304,1.70487338283121,0.091799998244326,0.327548067237182
"MCBB_Temporal cortex_M",0.361963782593368,1.98309462894557,0.051043882647234,0.999673220293587
"MCBB_Cerebellum_F",-0.100757239197331,-1.08687951007179,0.280104304699315,0.538643184203152
"MCBB_Cerebellum_M",0.0157970559125697,0.153429021391341,0.878467248589083,0.980876136646459
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0578631692067173,-0.501451144371064,0.616752693491244,0.77827385629886
"ROSMAP_Dorsolateral prefrontal cortex_M",0.12453396257681,0.800607493601547,0.425552013697952,0.67325547760561
"MSBB_BM10_F",-0.0616681504010561,-0.573902096887087,0.567376343575865,0.970610640584505
"MSBB_BM10_M",0.0863516397904842,0.587055593719218,0.559595367287064,0.99982029157794
"MSBB_BM22_F",-0.118849772168886,-1.05536188361617,0.293910495718055,0.428748554492198
"MSBB_BM22_M",0.319219971045937,2.08292276825719,0.0415947136045481,0.341373171753824
"MSBB_BM36_F",-0.192597287193701,-1.23007316978034,0.22146232224504,0.472342717458454
"MSBB_BM36_M",0.00684359716600902,0.0288832309251414,0.977049510783508,0.998361462795067
"MSBB_BM44_F",-0.173605814917424,-1.29703005838174,0.198419480170315,0.720180293326924
"MSBB_BM44_M",0.239252382476703,1.24007010018413,0.220649333373196,0.690057593180934
