"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.109461248582269,1.92389205927804,0.0576498850642449,0.26648075696472
"MCBB_Temporal cortex_M",-0.0109623637857172,-0.1143172186342,0.909293925639263,0.999673220293587
"MCBB_Cerebellum_F",-0.0237211160885868,-0.226442764944948,0.821390400992584,0.913603605954979
"MCBB_Cerebellum_M",0.0758874673905119,0.809666516068164,0.420663586237447,0.894903629299359
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0473338872145925,0.702763647606997,0.483238781443855,0.686380039565322
"ROSMAP_Dorsolateral prefrontal cortex_M",0.098366797815773,1.14698254504613,0.25455098420584,0.529419833186406
"MSBB_BM10_F",-0.038194633615146,-0.254010333734382,0.800030871224029,0.988644477391954
"MSBB_BM10_M",-0.354729358754888,-1.44589885783863,0.153943318162598,0.99982029157794
"MSBB_BM22_F",0.0147831685477411,0.105560676678469,0.91615133779394,0.946414886485492
"MSBB_BM22_M",0.174278464354176,1.08886021561295,0.280636462939839,0.583766292460938
"MSBB_BM36_F",0.00837277816863446,0.0364378956597214,0.971003484897653,0.985981068185386
"MSBB_BM36_M",0.137660310204188,0.451951678202329,0.652864323150191,0.988313657554056
"MSBB_BM44_F",0.191659124478398,2.28215291235328,0.0251879786676842,0.545055208807507
"MSBB_BM44_M",0.139843595236235,1.28616436725,0.204219393829251,0.683820402513808
