"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.0463587762343014,-0.405675340406808,0.68598084996568,0.918875731904803
"MCBB_Temporal cortex_M",0.0516043006012588,0.3562561945577,0.722655845776522,0.994598217960605
"MCBB_Cerebellum_F",-0.140400441517556,-0.952453930928828,0.343516199128914,0.845096913729331
"MCBB_Cerebellum_M",-0.689119360088878,-2.50416143673897,0.0144210475567851,0.477297798790958
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.00914537498708512,-0.0505161494851828,0.959774984042199,0.992165569239617
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0467687385522213,0.188696408202781,0.850772703131244,0.996134715951995
"MSBB_BM10_F",0.0657231959567852,0.275378994768469,0.783616975915591,0.999957328615313
"MSBB_BM10_M",-0.0207801764386044,-0.0577725662631455,0.954141510992273,0.999992169925084
"MSBB_BM22_F",0.302772453897275,1.1014656344482,0.273449986888472,0.833553492650623
"MSBB_BM22_M",-0.208665920043157,-0.62393149275712,0.535073918279995,0.954718876511699
"MSBB_BM36_F",0.308022805343559,0.749975070706391,0.454973609177025,0.891197541555229
"MSBB_BM36_M",0.118078265930329,0.280785543807921,0.779799873700052,0.999928594676089
"MSBB_BM44_F",0.128401776466792,0.44879990377057,0.654812293449486,0.971969742226796
"MSBB_BM44_M",-0.129366525599527,-0.381454790595526,0.704457324673518,0.993240590478345
