"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0555468855976544,0.294230959244603,0.769284902698893,0.946206777044754
"MCBB_Temporal cortex_M",0.187528710159721,0.827982982088149,0.410325223311065,0.994598217960605
"MCBB_Cerebellum_F",0.0735074277610117,0.288143328579906,0.773925136982948,0.961122994334096
"MCBB_Cerebellum_M",-0.205582737486159,-0.435983966995238,0.664086199111451,0.903484442532852
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.870928991970364,-2.48926879021566,0.0138380265390817,0.592720862104408
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0301497612612431,-0.0504486228764433,0.959881181893415,0.99805558818899
"MSBB_BM10_F",0.411233183262806,0.9698192792331,0.334573883823422,0.999957328615313
"MSBB_BM10_M",0.184657056814133,0.270004771683263,0.788178384594777,0.999992169925084
"MSBB_BM22_F",-0.00952560914502598,-0.0302785715523014,0.97590779016071,0.9988748545916
"MSBB_BM22_M",0.371107109326841,0.937809125123362,0.35215991784077,0.944595224354687
"MSBB_BM36_F",-0.697621654056216,-0.827127758472267,0.410070314153729,0.882337139725773
"MSBB_BM36_M",-0.337700528224685,-0.459525182765648,0.647447324937562,0.999928594676089
"MSBB_BM44_F",0.231863050192121,1.06295648268666,0.29106019027121,0.866694649409744
"MSBB_BM44_M",-0.102700157374205,-0.340835038508269,0.734633962704871,0.993624200269455
