"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.517092162544817,-1.32737277079481,0.187871091323206,0.678024165618298
"MCBB_Temporal cortex_M",-0.219082381524422,-0.449239123600033,0.654563619541689,0.994598217960605
"MCBB_Cerebellum_F",-0.447737934781998,-1.14129999568899,0.256889496200362,0.81286672250477
"MCBB_Cerebellum_M",-0.857479534718854,-1.44795625086727,0.151748573600101,0.618496719695896
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.316418164822644,-0.555321692833397,0.57946124359806,0.917256469537305
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.485529272204118,-0.561318329833377,0.576031648696834,0.996134715951995
"MSBB_BM10_F",0.66807800828526,1.41428592421786,0.160513291138233,0.999957328615313
"MSBB_BM10_M",-0.0574613946928029,-0.120983867041727,0.904149645079553,0.999992169925084
"MSBB_BM22_F",0.521083172805866,0.97577106865287,0.331632101104643,0.865089009703142
"MSBB_BM22_M",-0.375154688452055,-0.632813391341989,0.529296873476957,0.954689743427306
"MSBB_BM36_F",0.601256921504319,0.758028902225852,0.450158719496316,0.889649217904333
"MSBB_BM36_M",-0.186058516854738,-0.316085642693284,0.752987944657832,0.999928594676089
"MSBB_BM44_F",0.813673822843002,1.38552297408212,0.169816080612535,0.772146880981258
"MSBB_BM44_M",-0.292281455733424,-0.421473736389837,0.675188037277335,0.993240590478345
