"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.250511770949845,1.76032909702452,0.0818796358582531,0.570625146252332
"MCBB_Temporal cortex_M",0.362434800535289,1.61611503554515,0.110297436849127,0.994598217960605
"MCBB_Cerebellum_F",0.0351028147146542,0.255480988247932,0.798957097563805,0.965879716304889
"MCBB_Cerebellum_M",0.675400032587347,2.23436975862486,0.0284026369242086,0.484065349491068
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0901658706443449,0.405857898947393,0.685396960757614,0.940964206438065
"ROSMAP_Dorsolateral prefrontal cortex_M",0.166031744409421,0.555018928196151,0.580313900342361,0.996134715951995
"MSBB_BM10_F",0.0822480807458037,0.462891358130084,0.64448991222114,0.999957328615313
"MSBB_BM10_M",0.0612779642000838,0.276314101110291,0.783354051046453,0.999992169925084
"MSBB_BM22_F",0.316228939817409,1.85750475772318,0.0663069439569399,0.625986310776839
"MSBB_BM22_M",-0.0850659796678741,-0.421394084634583,0.67499628555875,0.971780820045663
"MSBB_BM36_F",-0.199373107336399,-0.985899004454302,0.326485151422527,0.869999987351056
"MSBB_BM36_M",0.22066897744882,1.01211254239128,0.315376340179328,0.999928594676089
"MSBB_BM44_F",-0.0810474696958288,-0.532811651964535,0.595668843508182,0.969752201260989
"MSBB_BM44_M",0.0409886288963452,0.201500023140337,0.841112635948393,0.99694588102138
