"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.321264717444643,2.89474061102483,0.00480032779085536,0.430013187640806
"MCBB_Temporal cortex_M",0.0651331713319561,0.373198749043475,0.710060536029926,0.994598217960605
"MCBB_Cerebellum_F",0.168156385564782,1.46794810491319,0.145739061781564,0.752732443026628
"MCBB_Cerebellum_M",0.263117627146912,1.19774988259215,0.234742354974832,0.678540241693911
"ROSMAP_Dorsolateral prefrontal cortex_F",0.185310325759075,0.878544244282312,0.380984569337061,0.856574019852077
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0713494474134997,0.218744750681954,0.827364083949493,0.996134715951995
"MSBB_BM10_F",-0.167635914330259,-0.781126149526056,0.436650507542668,0.999957328615313
"MSBB_BM10_M",0.0730532188810882,0.245457370624959,0.807026110604448,0.999992169925084
"MSBB_BM22_F",-0.225187534275222,-0.976282385348826,0.331380036223297,0.865089009703142
"MSBB_BM22_M",0.260521339711607,0.992135319952473,0.325176918274088,0.942081615579851
"MSBB_BM36_F",-0.481744439331879,-0.993236807711804,0.322914326008328,0.869999987351056
"MSBB_BM36_M",-0.203809128827825,-0.446125921347319,0.657044045323194,0.999928594676089
"MSBB_BM44_F",-0.180208435867803,-1.24189315293318,0.217973030902577,0.815666206401179
"MSBB_BM44_M",-0.11905517290951,-0.518651338600882,0.606256837901874,0.993240590478345
