"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.056276409670601,0.286535528001375,0.775151777190254,0.947650018397975
"MCBB_Temporal cortex_M",-0.122590331734949,-0.404832906362226,0.686760624461112,0.994598217960605
"MCBB_Cerebellum_F",0.0736084623353648,0.470344612347787,0.639290578946267,0.933715724866718
"MCBB_Cerebellum_M",0.040119687454542,0.138286983070757,0.890379931408264,0.973436904122792
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.112810215392666,-0.416718364373407,0.677450874351352,0.939662704906308
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.3620605107357,-0.810976509583975,0.419604561035686,0.996134715951995
"MSBB_BM10_F",0.303494754472355,0.877304387500268,0.382511730139798,0.999957328615313
"MSBB_BM10_M",-0.0338021956109156,-0.0876131589797043,0.930505908336127,0.999992169925084
"MSBB_BM22_F",-0.0487279097655078,-0.108600619433784,0.913746100838332,0.993362777142851
"MSBB_BM22_M",-0.623707596944576,-1.13630746867473,0.260415323710041,0.938789208771922
"MSBB_BM36_F",0.0747303780570103,0.130317231582294,0.896568759619925,0.982396044926525
"MSBB_BM36_M",-0.232961423154358,-0.535234017359481,0.594382451715558,0.999928594676089
"MSBB_BM44_F",-0.0669940284490984,-0.166081247092799,0.868519953849105,0.991296310412997
"MSBB_BM44_M",-0.484530716208782,-1.02570006188798,0.30989444776556,0.993240590478345
