"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.419304431725661,-1.39695179096813,0.165994434999351,0.664353661816264
"MCBB_Temporal cortex_M",-0.125352640686704,-0.263357747875596,0.793002028593402,0.996433633767776
"MCBB_Cerebellum_F",-0.762104524538309,-1.94929437309021,0.0544949283612256,0.71254316535211
"MCBB_Cerebellum_M",-1.32421509983244,-1.85655757297796,0.0672556108519467,0.536909698374246
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.370455345887514,-1.01375959474997,0.312249762810092,0.828595467500572
"ROSMAP_Dorsolateral prefrontal cortex_M",0.820661059799189,1.39364746788223,0.166993847896694,0.996134715951995
"MSBB_BM10_F",0.107642656304426,0.22441117635017,0.822914349971563,0.999957328615313
"MSBB_BM10_M",0.41273557854381,0.610592875248532,0.544012198875935,0.999992169925084
"MSBB_BM22_F",0.207198997707132,0.455109083234891,0.650059085016609,0.957202150643698
"MSBB_BM22_M",0.752180257583361,1.2894644393208,0.202261111518552,0.938789208771922
"MSBB_BM36_F",-0.572282537209831,-0.636106568227477,0.526113157314093,0.907321704052778
"MSBB_BM36_M",-0.155388024943605,-0.183777782213855,0.854781173013886,0.999928594676089
"MSBB_BM44_F",0.809360401204282,2.14576017940218,0.0349816640657539,0.540617793414853
"MSBB_BM44_M",0.508524142836142,1.08249097695743,0.284148121284468,0.993240590478345
