"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0010971504784818,0.00800695046002907,0.993629846449135,0.999933102036725
"MCBB_Temporal cortex_M",-0.0581076663709545,-0.355620962816129,0.723129605453068,0.999687690987713
"MCBB_Cerebellum_F",0.0503917254033803,0.298383255251759,0.766125029060277,0.999953650158269
"MCBB_Cerebellum_M",-0.740537754069857,-2.19984572581473,0.0308620178599555,0.502075949887573
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0813262923401883,0.301599500846873,0.763354586064156,0.999334838985318
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.395208827253965,-1.01423569199482,0.313298388101903,0.999954397139434
"MSBB_BM10_F",0.41099697411525,1.06747057745096,0.288436664604054,0.999774791899059
"MSBB_BM10_M",0.234814759658536,0.389818202261709,0.698193258588861,0.999885596287748
"MSBB_BM22_F",-0.306537067235557,-0.598737125703,0.55075939351378,0.873670081473284
"MSBB_BM22_M",0.276004315003205,0.458736116567795,0.648106555751347,0.999735592435082
"MSBB_BM36_F",-1.0835663717063,-1.30353721350719,0.19528771359169,0.869326766781703
"MSBB_BM36_M",-1.00045702579841,-1.53518224612725,0.129773007540242,0.999862642023317
"MSBB_BM44_F",0.341753111736181,1.17108187560901,0.245107820123085,0.999016367348888
"MSBB_BM44_M",0.0738730819308175,0.148979350731352,0.882160020387496,0.999928424555073
