"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0249032008636449,0.158136590793156,0.874717011396423,0.999933102036725
"MCBB_Temporal cortex_M",-0.192941291147728,-0.795791829321787,0.428681911916541,0.999687690987713
"MCBB_Cerebellum_F",-0.0681027434978336,-0.309762086191576,0.757485616557397,0.999953650158269
"MCBB_Cerebellum_M",-0.470996953267384,-1.56606078138029,0.121495399056667,0.625472759391283
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0631599510957628,-0.265574886423127,0.790913361845544,0.999334838985318
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.451199381367555,-1.33718092666789,0.184668789047011,0.999954397139434
"MSBB_BM10_F",0.124970231567477,0.498378882235208,0.619357028911004,0.999774791899059
"MSBB_BM10_M",0.0121783465102565,0.0319870037086633,0.974599504017368,0.999885596287748
"MSBB_BM22_F",0.0427530076115623,0.133044237334188,0.894437077783098,0.975643080196202
"MSBB_BM22_M",0.0135150967896527,0.0369682492645765,0.970634929101057,0.999735592435082
"MSBB_BM36_F",-0.663581755559618,-1.11500719616711,0.267433389840288,0.869326766781703
"MSBB_BM36_M",-0.534190673362584,-0.925104683767559,0.358460397852668,0.999862642023317
"MSBB_BM44_F",0.0927413780305733,0.362554536446279,0.717911819685442,0.999016367348888
"MSBB_BM44_M",-0.161690936368327,-0.547572198724572,0.586384563219481,0.999928424555073
