"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.263061608031711,0.894890530613098,0.373323979717698,0.999933102036725
"MCBB_Temporal cortex_M",0.208523038936268,0.471843054454942,0.638418152509635,0.999687690987713
"MCBB_Cerebellum_F",0.337076717101517,1.07850544960754,0.283801453027006,0.999953650158269
"MCBB_Cerebellum_M",0.586790066309292,0.972499019395562,0.333892226065444,0.779737394888492
"ROSMAP_Dorsolateral prefrontal cortex_F",0.071417540448909,0.20015423950646,0.841617739626719,0.999334838985318
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.140588889059555,-0.277785159544197,0.781840029463688,0.999954397139434
"MSBB_BM10_F",-0.303436100556105,-0.691153275033347,0.491137302144121,0.999774791899059
"MSBB_BM10_M",0.0972589116340377,0.181927955461879,0.856315583988251,0.999885596287748
"MSBB_BM22_F",-0.197619217414309,-0.609220648830492,0.543818312300462,0.872448098208435
"MSBB_BM22_M",-0.0119206941738481,-0.025792556982391,0.979509706047346,0.999735592435082
"MSBB_BM36_F",-1.24467450258858,-1.83115470373823,0.0699583058954098,0.869326766781703
"MSBB_BM36_M",-0.19969952681296,-0.330215640263378,0.742338480308845,0.999862642023317
"MSBB_BM44_F",-0.0961792049931685,-0.377340366095423,0.706938749420521,0.999016367348888
"MSBB_BM44_M",0.0656168163861039,0.184249716220361,0.854551405575778,0.999928424555073
