"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.169662155371904,1.08457422853952,0.281117817015795,0.999933102036725
"MCBB_Temporal cortex_M",-0.111824386375135,-0.449754369740763,0.654193711017456,0.999687690987713
"MCBB_Cerebellum_F",0.18085465700778,0.814883220089845,0.417373266201004,0.999953650158269
"MCBB_Cerebellum_M",0.275984315121113,0.879793648994063,0.381748882226333,0.805548909717679
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0972289155396266,0.471086577199589,0.638229679604009,0.999334838985318
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.191128380024883,-0.690286297317474,0.491861853984586,0.999954397139434
"MSBB_BM10_F",-0.0247114720290522,-0.0905716143258496,0.928021710814348,0.999774791899059
"MSBB_BM10_M",-0.0281661838452405,-0.069142119915886,0.945130061850071,0.999885596287748
"MSBB_BM22_F",-0.428123630121348,-1.42804691116314,0.156525871443208,0.720945942954442
"MSBB_BM22_M",0.309998206066739,0.78067456982969,0.438110198801489,0.999735592435082
"MSBB_BM36_F",-1.10380095515616,-1.45819846386338,0.147818083106419,0.869326766781703
"MSBB_BM36_M",-0.520341166996872,-0.789906981909281,0.432561043042184,0.999862642023317
"MSBB_BM44_F",-0.259736334948573,-1.45302186390594,0.150202931619901,0.999016367348888
"MSBB_BM44_M",-0.192921828262938,-0.826281330157475,0.412510148270134,0.999928424555073
