"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.0200122130499754,-0.0651853041089044,0.948176572496129,0.999933102036725
"MCBB_Temporal cortex_M",0.328905886336905,0.549066416437504,0.584602167903712,0.999687690987713
"MCBB_Cerebellum_F",0.035112664388691,0.0977225248971397,0.922378325116364,0.999953650158269
"MCBB_Cerebellum_M",0.83367807511424,1.47880499961059,0.143331773617774,0.64567479956691
"ROSMAP_Dorsolateral prefrontal cortex_F",0.200045016617895,0.359516539822692,0.719689489675998,0.999334838985318
"ROSMAP_Dorsolateral prefrontal cortex_M",0.865242534415585,1.44625803944903,0.151718035239943,0.999954397139434
"MSBB_BM10_F",-0.205735273882975,-0.41409127077968,0.67973106461652,0.999774791899059
"MSBB_BM10_M",-0.160325151704927,-0.274718064645264,0.784573635890423,0.999885596287748
"MSBB_BM22_F",-0.482403487778796,-0.763071450554003,0.447293207503723,0.838616678536486
"MSBB_BM22_M",-0.282292591793121,-0.390700341439127,0.697423798772987,0.999735592435082
"MSBB_BM36_F",-0.498825717832831,-0.676242139714249,0.500397471601798,0.880328715296423
"MSBB_BM36_M",0.232282556119084,0.3786721070662,0.70621131026693,0.999862642023317
"MSBB_BM44_F",-0.0853333647743666,-0.163805825637131,0.870304948781384,0.999016367348888
"MSBB_BM44_M",-0.239942368134035,-0.464523094220645,0.644258627400018,0.999928424555073
