"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.236153539315128,1.08480605303168,0.281015687258332,0.999933102036725
"MCBB_Temporal cortex_M",0.632167792998981,1.9365133750485,0.0565984087359372,0.999687690987713
"MCBB_Cerebellum_F",0.108748357047948,0.424927589107245,0.671942817510146,0.999953650158269
"MCBB_Cerebellum_M",0.762080879004826,2.73323782363548,0.00779966185691058,0.444613591454351
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.393350774257823,-1.18307550351493,0.238559054990193,0.999334838985318
"ROSMAP_Dorsolateral prefrontal cortex_M",0.213078091784934,0.483531015098926,0.629940298766102,0.999954397139434
"MSBB_BM10_F",0.332093950302156,1.57420455537338,0.118730411413055,0.999774791899059
"MSBB_BM10_M",0.160115379635728,0.567996826608579,0.572374508165897,0.999885596287748
"MSBB_BM22_F",-0.0467323558910016,-0.186191364733533,0.852687849496182,0.965663669843219
"MSBB_BM22_M",-0.0336359902329155,-0.0995797489622475,0.921015038633151,0.999735592435082
"MSBB_BM36_F",-0.317910094950776,-0.755537116011455,0.451645267390504,0.874034544329069
"MSBB_BM36_M",-0.527515759762451,-1.29475838214011,0.200154079097106,0.999862642023317
"MSBB_BM44_F",0.295346833096777,1.34756645703543,0.181673747231355,0.999016367348888
"MSBB_BM44_M",-0.0265308179538266,-0.093149251563601,0.926151544430946,0.999928424555073
