"","gene","MCBB_Temporal.cortex_F","MCBB_Temporal.cortex_M","MCBB_Cerebellum_F","MCBB_Cerebellum_M","ROSMAP_Dorsolateral.prefrontal.cortex_F","ROSMAP_Dorsolateral.prefrontal.cortex_M","MSBB_BM10_F","MSBB_BM10_M","MSBB_BM22_F","MSBB_BM22_M","MSBB_BM36_F","MSBB_BM36_M","MSBB_BM44_F","MSBB_BM44_M"
"1","ACACA",NA,NA,NA,NA,NA,NA,NA,NA,-0.291679574269174,NA,NA,NA,NA,NA
"2","FASN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GPAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AGPAT1",NA,NA,NA,NA,NA,NA,NA,NA,-0.478615078050948,NA,NA,NA,NA,NA
"5","LPIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DGAT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PLIN2",0.50070372160646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABCA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABCA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","SREBF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","SREBF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PNPLA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CPT1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ACAT1",NA,NA,NA,NA,NA,NA,NA,NA,-0.344429333951574,NA,NA,NA,NA,NA
"15","HMGCS1",NA,NA,NA,NA,NA,NA,NA,NA,-0.627309257368895,NA,NA,NA,NA,NA
"16","CDS1",NA,NA,NA,NA,NA,NA,NA,NA,-0.413776292364963,NA,NA,NA,NA,NA
"17","CDS2",NA,NA,NA,NA,NA,NA,NA,NA,-0.326205706511789,NA,NA,NA,NA,NA
"18","PLPP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PLPP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CDIPT",NA,NA,NA,NA,NA,NA,NA,NA,-0.42158901280768,NA,NA,NA,NA,NA
"21","CEPT1",NA,NA,NA,NA,NA,NA,NA,NA,-0.277051573845839,NA,NA,NA,NA,NA
"22","PTDSS1",NA,NA,NA,NA,NA,NA,NA,NA,-0.574597443431673,NA,NA,NA,NA,NA
"23","PGS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
