"gene","MSBB_BM10","MSBB_BM22","MSBB_BM36","MSBB_BM44","MCBB_Temporal cortex","MCBB_Cerebellum","ROSMAP_Dorsolateral prefrontal cortex"
"ACACA","padj<0.05",NA,"padj<0.05","padj<0.05","padj<0.05",NA,NA
"FASN",NA,NA,NA,"padj<0.05",NA,NA,NA
"GPAM",NA,"padj<0.05","padj<0.05","padj<0.05","padj<0.05","padj<0.05",NA
"AGPAT1",NA,NA,NA,"padj<0.05","padj<0.05","padj<0.05",NA
"LPIN1","padj<0.05","padj<0.05","padj<0.05","padj<0.05","padj<0.05","padj<0.05",NA
"DGAT1",NA,NA,NA,NA,NA,NA,NA
"PLIN2",NA,"padj<0.05",NA,NA,NA,NA,NA
"ABCA1","padj<0.05","padj<0.05","padj<0.05","padj<0.05",NA,NA,NA
"ABCA7",NA,NA,NA,NA,NA,NA,NA
"SREBF1",NA,NA,NA,NA,"padj<0.05",NA,NA
"SREBF2",NA,NA,NA,"padj<0.05",NA,NA,NA
"PNPLA2",NA,"padj<0.05","padj<0.05",NA,NA,NA,NA
"CPT1A","padj<0.05","padj<0.05","padj<0.05","padj<0.05",NA,NA,NA
"ACAT1","padj<0.05","padj<0.05","padj<0.05",NA,NA,NA,NA
"HMGCS1","padj<0.05","padj<0.05","padj<0.05",NA,NA,NA,NA
