"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.587127843296014,3.99945684242421,0.000132203445205358,0.00129183887226112
"MCBB_Temporal cortex_M",0.445445122112943,2.49398690652769,0.0148196996592017,0.112794380739479
"MCBB_Cerebellum_F",0.0688891368966251,0.432024159227464,0.666783866054826,0.746973178146904
"MCBB_Cerebellum_M",-0.162737581600228,-1.07951395834026,0.283733321168873,0.414099259354812
"ROSMAP_Dorsolateral prefrontal cortex_F",0.213560310240536,1.99127323730857,0.0481662005375378,0.118644398598225
"ROSMAP_Dorsolateral prefrontal cortex_M",0.104582599968216,0.820865340841938,0.413954469013329,0.828201554286563
"MSBB_BM10_F",0.170948889550187,1.48787564247959,0.140026371525073,0.838665145760529
"MSBB_BM10_M",0.118644059307258,1.16685586164882,0.248258075849707,0.448357255294665
"MSBB_BM22_F",0.294965836797402,2.71309374482543,0.00788856240930288,0.171731201764394
"MSBB_BM22_M",0.343530941221005,2.64669018531426,0.0103542828845226,0.0753222575494217
"MSBB_BM36_F",0.466775175508168,3.81330434458594,0.000232331313007333,0.0117521141491215
"MSBB_BM36_M",0.525561025272725,3.98623348303733,0.000174799709722013,0.00171829811741299
"MSBB_BM44_F",0.271646170290573,2.03783442991896,0.0448893158952869,0.17870250339401
"MSBB_BM44_M",0.333974638337995,2.52149966035901,0.0147898424229277,0.0457085353488082
