"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.185730925218308,2.68471472513462,0.0086799505893097,0.0299557005066195
"MCBB_Temporal cortex_M",0.116120909809945,1.71055880941778,0.0912696909718823,0.321090336850784
"MCBB_Cerebellum_F",0.342990706115812,5.2851579450477,9.0738073787211e-07,4.71251676139795e-05
"MCBB_Cerebellum_M",0.195076443067809,2.32601440201739,0.0226547739862983,0.0653538051247417
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.155975239623031,-2.64629751090531,0.00895698723206413,0.0356583566033858
"ROSMAP_Dorsolateral prefrontal cortex_M",0.109619786295172,1.27462002248593,0.205819326636484,0.674434021831643
"MSBB_BM10_F",-0.0055174142175094,-0.0834289920594958,0.933682311330881,0.99277637379791
"MSBB_BM10_M",0.0933937336267245,1.48319547390305,0.143679583201129,0.325744715255193
"MSBB_BM22_F",-0.181462324884071,-2.14717892075846,0.0342726058858974,0.221532023196932
"MSBB_BM22_M",-0.119669956211769,-1.34564823475931,0.183453685193887,0.349948113505327
"MSBB_BM36_F",-0.10958989993414,-1.54665355852012,0.124972141718706,0.333950472277752
"MSBB_BM36_M",-0.184713084461398,-3.0655758613254,0.00318035937083318,0.0140985720795473
"MSBB_BM44_F",-0.135442818908039,-1.58986451422473,0.115830652464659,0.277775609023058
"MSBB_BM44_M",-0.0878326289607987,-1.31212397566536,0.195243159983273,0.300051360088682
