"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.00364125361129197,-0.0681017172853599,0.945859771655591,0.967717506295795
"MCBB_Temporal cortex_M",0.0767254826365154,1.60038417098709,0.113690569861213,0.364112939835649
"MCBB_Cerebellum_F",-0.0598440496014465,-0.960502117641407,0.339442428705341,0.447054365957978
"MCBB_Cerebellum_M",-0.217415197989124,-3.75231811278157,0.000338083375790126,0.00327257760846161
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0598199223372013,-1.37647075031455,0.170613982567622,0.29469845203947
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0139652500887788,0.258342856634222,0.796749199414094,0.954847739001653
"MSBB_BM10_F",-0.106488401469767,-1.3687826495235,0.174227743817835,0.843960030416797
"MSBB_BM10_M",-0.273583991044288,-2.95274146521261,0.00461028962976665,0.0601091073499346
"MSBB_BM22_F",-0.190107136895809,-1.93545456641182,0.0558476810570732,0.261297689728767
"MSBB_BM22_M",-0.193079217402398,-2.10181664759648,0.0397546057924637,0.141966757420317
"MSBB_BM36_F",0.0143095312832306,0.153369886529775,0.878402576400177,0.945630430266104
"MSBB_BM36_M",-0.23891533533391,-2.23009244607617,0.029256872801873,0.0743632075107226
"MSBB_BM44_F",-0.206899060799618,-1.9826608932967,0.0508562393994355,0.189218565587942
"MSBB_BM44_M",-0.201557899639992,-2.11633401251267,0.0391236842790556,0.0905472348473921
