"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.136959509500369,-2.27326110108096,0.0254545293890081,0.0685512228196477
"MCBB_Temporal cortex_M",-0.0845752134601572,-1.68935550734754,0.0952779177306556,0.330179045689661
"MCBB_Cerebellum_F",-0.330688152799972,-5.25682671414681,1.02017912582016e-06,4.94898852009449e-05
"MCBB_Cerebellum_M",-0.388192050157476,-6.77904879402392,2.18352759971695e-09,2.31440278522499e-06
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.155324345444229,-2.46451795062833,0.0147853173375174,0.0510617623249398
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.137069815476933,-1.66943186223956,0.0986070703072433,0.531601672367494
"MSBB_BM10_F",0.114842461140783,0.864075070758257,0.389677640593719,0.895371576901088
"MSBB_BM10_M",0.219081914657509,1.39618767291758,0.168217968747835,0.356917924726624
"MSBB_BM22_F",-0.143384065158457,-0.874155476555818,0.384193513754678,0.640289711111862
"MSBB_BM22_M",0.0814622088430896,0.527787507735998,0.599583508024872,0.740496509379147
"MSBB_BM36_F",-0.23582559284106,-1.5614869812155,0.121434488334205,0.32945343033684
"MSBB_BM36_M",0.0804715503339803,0.524401975821142,0.601811202551695,0.71618928371367
"MSBB_BM44_F",-0.255851579895477,-2.47398486089159,0.0154894191577855,0.126656441492291
"MSBB_BM44_M",-0.241763584094886,-1.88328557797679,0.0652619787349919,0.131298808217613
