"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.237607195743216,-3.58230863610622,0.000558672136903119,0.00375954020734234
"MCBB_Temporal cortex_M",-0.0746071864814875,-0.976271680036301,0.332048180273898,0.635314252585459
"MCBB_Cerebellum_F",-0.391247284158689,-4.71740894091932,8.9539454050548e-06,0.000173716832749333
"MCBB_Cerebellum_M",-0.172978042832305,-2.55566785917932,0.0125713603077277,0.0428969214202726
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.125125383302718,-2.19059420509665,0.0299390624975789,0.0841961977206515
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.149811916107346,-2.07666156603567,0.04076660624717,0.398789462724332
"MSBB_BM10_F",0.0507872884642673,0.635704166152943,0.526465742572639,0.922901658811016
"MSBB_BM10_M",-0.0319678189281651,-0.319837140823921,0.750292784947849,0.858495220297985
"MSBB_BM22_F",-0.164066351958131,-1.46384511502453,0.146470657495527,0.397583587476383
"MSBB_BM22_M",-0.0529724478357476,-0.540836647230832,0.590612383090497,0.733777627547397
"MSBB_BM36_F",-0.241721752985029,-2.01391090978657,0.0465906782034526,0.195509710584526
"MSBB_BM36_M",-0.082041159474489,-0.584309940283203,0.561066546591635,0.682460209543525
"MSBB_BM44_F",-0.25571579258532,-2.93827722500218,0.0043166230275483,0.0838188854569182
"MSBB_BM44_M",-0.180935757572363,-2.3606192708634,0.0220306829321092,0.0599935015592938
