"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.02449495455323,0.156836965897844,0.875734022388252,0.922808417932747
"MCBB_Temporal cortex_M",-0.0588828909437371,-0.321354203889287,0.748830080373253,0.898175245009262
"MCBB_Cerebellum_F",0.441782276616399,2.91898926781758,0.00446121947207587,0.0142723509228902
"MCBB_Cerebellum_M",0.0864456663526578,0.653044403742707,0.515675597655864,0.636718148248309
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.186941232200278,-2.90789567216562,0.00416007752747451,0.0212827516883203
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.00822565551381427,-0.0940804023331554,0.925260455161892,0.985191209445313
"MSBB_BM10_F",-0.0580529032443842,-0.676766607503419,0.500164229644004,0.917329849400609
"MSBB_BM10_M",-0.117428060614349,-1.34908926389916,0.182787091548606,0.375336112634221
"MSBB_BM22_F",-0.412890969912665,-2.89005043673022,0.00475287723733113,0.156036812977365
"MSBB_BM22_M",-0.363724898100504,-2.52159261654142,0.0143418319572806,0.0861426189025221
"MSBB_BM36_F",-0.312566168212041,-2.48249044871438,0.0146398867568375,0.104296027776678
"MSBB_BM36_M",-0.410298836143069,-3.44630029123153,0.00100906428171786,0.00612332984860252
"MSBB_BM44_F",-0.150825886364649,-1.15987778241395,0.249566806649836,0.424708995109651
"MSBB_BM44_M",-0.337988406675674,-2.88794422921891,0.00563971434276679,0.0246290659561413
