"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.636822016396834,4.50911212865675,2.00672262746756e-05,0.000330728717265462
"MCBB_Temporal cortex_M",0.0878904076250686,0.821159135121133,0.414141490340713,0.703115883385702
"MCBB_Cerebellum_F",0.629543682624625,4.74253162805754,8.11380328726342e-06,0.000164212093148344
"MCBB_Cerebellum_M",0.301810625111623,2.89664333813404,0.00490978789022739,0.0219696814855848
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.200451934736503,-2.17746749614642,0.030921850035929,0.0862903535903502
"ROSMAP_Dorsolateral prefrontal cortex_M",0.113030228537407,1.01389646746217,0.313428452641586,0.768437968938934
"MSBB_BM10_F",-0.0431081141934708,-0.539809281603111,0.590565260583261,0.934141541321579
"MSBB_BM10_M",-0.0331115539011471,-0.345361419981251,0.731128312308887,0.84586432175245
"MSBB_BM22_F",-0.0547937298099361,-0.645848178584734,0.519903201706943,0.74070169220335
"MSBB_BM22_M",-0.027197499082404,-0.317228608340162,0.752165856118285,0.8503212607274
"MSBB_BM36_F",0.0734437372745056,0.835195291562229,0.405514561211153,0.641879520284327
"MSBB_BM36_M",-0.0511993395839498,-0.474598425116404,0.636689212678184,0.744139244876672
"MSBB_BM44_F",0.00637188413148415,0.0858510787477166,0.931800442675916,0.960036688524877
"MSBB_BM44_M",0.0453411604080785,0.734341720977147,0.466040226200953,0.578101339748976
