"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",-0.0440695505286319,-0.622102477161389,0.535489353411565,0.667827591413404
"MCBB_Temporal cortex_M",0.0234303603825969,0.305509248492627,0.760819211431933,0.903918730201021
"MCBB_Cerebellum_F",-0.174569043108565,-1.9450365544533,0.0549734389376951,0.106069578855665
"MCBB_Cerebellum_M",0.116771878010325,1.67203637071215,0.0985820482859058,0.192131938598967
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0878109049142601,1.77258528959861,0.0782150814730179,0.168617854755312
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0266173196191062,0.446952937644479,0.656013738303125,0.915475824132111
"MSBB_BM10_F",0.0735662355692002,0.820197243269626,0.414113973399725,0.899677727633268
"MSBB_BM10_M",0.144175599669165,1.38637596142721,0.17117683438947,0.36052724987401
"MSBB_BM22_F",0.0404267317725626,0.413410301850794,0.680218889108471,0.843019018498072
"MSBB_BM22_M",0.178663875153494,1.69103210097999,0.095993232755351,0.23440870677661
"MSBB_BM36_F",-0.110175782235997,-0.757326816708104,0.450559592140147,0.679872969320809
"MSBB_BM36_M",0.173585949813493,1.09960544803155,0.27562450619887,0.405241868186097
"MSBB_BM44_F",0.00483349558929813,0.0750490478928717,0.940364034737439,0.965264720823055
"MSBB_BM44_M",0.0411012653733351,0.644637558105904,0.521996876720889,0.629092026285847
