"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.411874329807825,3.52970517338915,0.000665309407881684,0.00426364487527596
"MCBB_Temporal cortex_M",0.332368091164278,2.19275720255898,0.0314057137322866,0.175349449828264
"MCBB_Cerebellum_F",-0.118089265422054,-1.33711914453758,0.184640572543686,0.277904695034983
"MCBB_Cerebellum_M",-0.238598882168946,-2.84618071600662,0.00566997409595988,0.0244425751635444
"ROSMAP_Dorsolateral prefrontal cortex_F",0.411960775520999,3.78721239569759,0.000215734488934973,0.00329818140130299
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0202700486720344,-0.14199161060857,0.887413160317222,0.975690081538821
"MSBB_BM10_F",-0.0721547797219841,-0.741161229847298,0.460385647183179,0.910405264998635
"MSBB_BM10_M",0.122488987013309,1.23125316872452,0.223420503744175,0.420948533681932
"MSBB_BM22_F",-0.0055987069101997,-0.0562512984161444,0.955257363441423,0.980847896837909
"MSBB_BM22_M",0.195177232758173,1.68988092000939,0.0962145189646475,0.234687824057207
"MSBB_BM36_F",0.109679489777677,0.955618461296719,0.341472077544954,0.58556620345081
"MSBB_BM36_M",0.489077838597734,3.7025620724719,0.000446664605983043,0.00337995633307937
"MSBB_BM44_F",0.00818658123675142,0.0703759166969399,0.944071019614395,0.967468715204332
"MSBB_BM44_M",0.266344715375814,1.9660916663675,0.0546390856564893,0.114994580073057
