"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.271183234612722,1.48999778501188,0.139814451729123,0.253773183387697
"MCBB_Temporal cortex_M",0.0222082776022052,0.136982628741019,0.891409224624363,0.962162437595915
"MCBB_Cerebellum_F",0.339963276495673,2.19967452296682,0.0304589650637274,0.0664062091592165
"MCBB_Cerebellum_M",-0.127515178052591,-0.992556286914243,0.324039538207763,0.456124379852711
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.411173599170105,-3.20496341969644,0.00163308933502667,0.0115168300061446
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.110518555244751,-0.564759197946615,0.573683048231036,0.888084368738328
"MSBB_BM10_F",0.00907492391329967,0.0597166891880212,0.952504097642513,0.99525932108155
"MSBB_BM10_M",-0.0755455903186277,-0.575149489789657,0.567514804613918,0.734915778307837
"MSBB_BM22_F",-0.417205830300936,-2.24283636048094,0.0271843776552286,0.208434219858398
"MSBB_BM22_M",-0.292624784994032,-1.70842436533593,0.092700520935352,0.229145659800508
"MSBB_BM36_F",-0.288871992901337,-1.62629998032512,0.106899961426917,0.307333589254365
"MSBB_BM36_M",-0.431536832379665,-3.00103525712152,0.00383297869886894,0.0161467428850414
"MSBB_BM44_F",-0.461666347310829,-2.26009174942875,0.0265487409843649,0.147946218477412
"MSBB_BM44_M",-0.439719358534836,-2.28596431105172,0.026362774285828,0.0679070695072772
