"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.36539346062025,6.75463189817504,1.50361591056676e-09,1.22650234064037e-06
"MCBB_Temporal cortex_M",0.20425343664872,2.97689455340011,0.00391170961848394,0.0516980238925746
"MCBB_Cerebellum_F",0.10131536202775,1.77354779006841,0.0796081811213162,0.142106367210334
"MCBB_Cerebellum_M",0.179130666894827,2.70732840161776,0.00835398574197141,0.0321404818961191
"ROSMAP_Dorsolateral prefrontal cortex_F",0.118132067746731,2.18718519171885,0.0301916516970196,0.0847246696411173
"ROSMAP_Dorsolateral prefrontal cortex_M",0.143186856792135,2.30910666526087,0.0232942346331335,0.341320913148522
"MSBB_BM10_F",0.171856218969165,3.18731818415799,0.00193270641933628,0.783385717695531
"MSBB_BM10_M",0.206124015201223,3.76952124535953,0.000398354883621212,0.0389394820237687
"MSBB_BM22_F",0.107118355091062,1.80028801696566,0.0749245341253716,0.292357000384423
"MSBB_BM22_M",0.140141888982923,2.46119290407158,0.0167258150466452,0.0922632838626408
"MSBB_BM36_F",0.157498504894673,3.62398166117292,0.000450012091525873,0.0167213686166415
"MSBB_BM36_M",0.213824727398388,4.27287189168862,6.54127067497839e-05,0.000876642827056998
"MSBB_BM44_F",0.104247603223476,1.90009298174636,0.0610430592685888,0.205579765395589
"MSBB_BM44_M",0.169653789245396,3.19039412383727,0.00240961477065412,0.0155772924940919
