"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.218001515245528,4.42052838674297,2.81031502476678e-05,0.000427254695347859
"MCBB_Temporal cortex_M",0.0905276622689959,1.62262489732881,0.108838986462512,0.357499238986181
"MCBB_Cerebellum_F",0.170010266769973,3.66599756400424,0.000421531249033783,0.00236606708583519
"MCBB_Cerebellum_M",0.123654248915587,2.47015492095238,0.0157207388649576,0.0502559868823405
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.0689534272943204,-1.34665535590419,0.180010408334682,0.307005534182653
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0556017371512496,0.774762110210198,0.440569515853044,0.83610143245509
"MSBB_BM10_F",0.111437639378283,1.57261495742707,0.119063178592491,0.838665145760529
"MSBB_BM10_M",0.0819313500250232,0.993422749487036,0.324815767128395,0.526693190165868
"MSBB_BM22_F",0.0887331249081509,1.09242235339051,0.277354257030658,0.543992660558343
"MSBB_BM22_M",0.138018950575752,1.84446295257155,0.0700287799935005,0.194679078718374
"MSBB_BM36_F",0.0752039966327951,0.716817160924933,0.475087132076091,0.699509378541891
"MSBB_BM36_M",0.183458448564087,1.56301733281887,0.122981749067501,0.221367148321502
"MSBB_BM44_F",0.0657192973926044,1.18703918822244,0.238743679945284,0.412891872176029
"MSBB_BM44_M",0.0962298589404558,1.4708887173798,0.147349110739103,0.242591226558349
