"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.364318598440115,2.45372573692794,0.0161170007070688,0.0480512998152255
"MCBB_Temporal cortex_M",0.370329156942198,1.99658422014825,0.0494762219168657,0.228141121200524
"MCBB_Cerebellum_F",0.0295519563658511,0.200093725567298,0.841870390994048,0.886877788643199
"MCBB_Cerebellum_M",0.00522201350296214,0.0364442412667241,0.971022588605641,0.981595039618449
"ROSMAP_Dorsolateral prefrontal cortex_F",0.30755877887783,2.29062148108626,0.023300959160921,0.0704134203230282
"ROSMAP_Dorsolateral prefrontal cortex_M",0.0689114999952509,0.461636297988246,0.645488143461065,0.911953382051231
"MSBB_BM10_F",-0.0320221537975325,-0.198301565577402,0.843224003449245,0.981901947452871
"MSBB_BM10_M",0.0289891386588712,0.19699752077697,0.844549173288805,0.913747691795415
"MSBB_BM22_F",0.234568962879411,1.17420499271117,0.243188726342767,0.510387696908234
"MSBB_BM22_M",0.171861028829549,0.978696672224702,0.331639864915616,0.509808955832259
"MSBB_BM36_F",0.299226108155,1.93988998483253,0.0550904611448133,0.213978327929295
"MSBB_BM36_M",0.395955675513643,2.72952556624457,0.00818221996923938,0.0285524649969149
"MSBB_BM44_F",0.00583031255358879,0.0305637931765308,0.975693943743616,0.985821562233856
"MSBB_BM44_M",-0.0654999693197653,-0.477376338325692,0.635095277403987,0.72656815721012
