"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.577562897377631,6.80023392166291,1.22253225842861e-09,1.22650234064037e-06
"MCBB_Temporal cortex_M",0.44610601119338,4.79395591689154,8.01820075595206e-06,0.00172296423964929
"MCBB_Cerebellum_F",0.405490181870217,4.04407870351052,0.00011261343688277,0.000909910101074333
"MCBB_Cerebellum_M",0.199826502013522,2.93576509030854,0.00438638545633506,0.0202253156481746
"ROSMAP_Dorsolateral prefrontal cortex_F",0.0965331953974249,1.28785650464617,0.199669776703043,0.331546410275228
"ROSMAP_Dorsolateral prefrontal cortex_M",0.159814855943722,1.66068020803412,0.100358278638647,0.534230035600952
"MSBB_BM10_F",0.0621472005695516,0.886239946320084,0.377679416702218,0.891149493146402
"MSBB_BM10_M",0.0284596624666262,0.379312406996778,0.705903399190222,0.830452475362356
"MSBB_BM22_F",0.00941107473199487,0.111614319692174,0.91135993659634,0.962819699844249
"MSBB_BM22_M",-0.027050713793229,-0.311922344009225,0.75617545876236,0.853095547562587
"MSBB_BM36_F",0.234254743764137,2.72110271439674,0.0076241461061162,0.0746397496943309
"MSBB_BM36_M",0.212268395969061,2.2360231850028,0.0288453751441208,0.0736315198119811
"MSBB_BM44_F",0.121703840462899,1.44003709588579,0.153779593636886,0.320494225406374
"MSBB_BM44_M",-0.0264673027572213,-0.346068860858566,0.730687773807269,0.803497408199202
