"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0367734714577388,0.673596108667912,0.502340449496287,0.639208674909977
"MCBB_Temporal cortex_M",0.047072613767642,0.58798791062114,0.558295432680477,0.799961513555569
"MCBB_Cerebellum_F",-0.243187733447541,-2.51968975197619,0.0135565836464473,0.0347753154055295
"MCBB_Cerebellum_M",0.135619956156066,1.7501108948752,0.0840884031615409,0.17129792543142
"ROSMAP_Dorsolateral prefrontal cortex_F",0.00852443292418581,0.128458025879584,0.897949082090747,0.938046421952248
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0179733646686815,-0.227035498863651,0.82092590058815,0.961641502638971
"MSBB_BM10_F",0.134083833261639,0.982524344061992,0.328285110681428,0.877716405588124
"MSBB_BM10_M",0.365358533709407,2.37521894353018,0.0210194961555919,0.115767543266347
"MSBB_BM22_F",0.0956019453947592,0.776714643983333,0.439217788427304,0.683629012847995
"MSBB_BM22_M",0.137075489083438,1.14045830892287,0.258604541171588,0.434669628499119
"MSBB_BM36_F",-0.020710997239219,-0.121509890512358,0.903520696292261,0.955634736779139
"MSBB_BM36_M",0.32607962216241,1.7344909477586,0.0876467928306061,0.171814864938991
"MSBB_BM44_F",0.225069505991027,3.15373298420159,0.00227443603619466,0.0658177368106908
"MSBB_BM44_M",0.123352635560643,1.59621147572374,0.116503851140661,0.202769491011463
