"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.0949077802863423,1.04891054350647,0.297102786471929,0.441258693749207
"MCBB_Temporal cortex_M",0.11620593676211,1.17991306624388,0.241739846494194,0.545814106450548
"MCBB_Cerebellum_F",0.23907442437707,3.89805656526238,0.000189245537829598,0.00131683639014651
"MCBB_Cerebellum_M",0.0753860838329654,1.13513152815021,0.259846334418449,0.388528997185218
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.170528618921788,-2.65798131911139,0.00866529351520528,0.0349546693172575
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0557293331592197,-0.566417383910602,0.572560505568643,0.887604709714762
"MSBB_BM10_F",-0.0183619281518697,-0.163622433755401,0.870368704974973,0.984556495314072
"MSBB_BM10_M",-0.233761401341384,-2.28942299759955,0.0258814617685933,0.128746836213395
"MSBB_BM22_F",-0.260370506408912,-1.60997543708356,0.110654074541834,0.348724743315463
"MSBB_BM22_M",-0.370169212800103,-2.44522025879315,0.0174132181898479,0.0941435811240334
"MSBB_BM36_F",-0.226291934988526,-1.76072521762448,0.0812124587791373,0.262683773660103
"MSBB_BM36_M",-0.443284824725795,-4.48990845638907,3.04263905007687e-05,0.000520823675097689
"MSBB_BM44_F",-0.293760767437003,-1.99991643846186,0.0489212136403433,0.186007023448625
"MSBB_BM44_M",-0.380760940355779,-2.96786694652844,0.00452541188188845,0.021750433911086
