"","log2FoldChange","t","pvalue","padj"
"MCBB_Temporal cortex_F",0.126366536346636,1.59725478497005,0.113807904032849,0.217048588428048
"MCBB_Temporal cortex_M",0.0599631519025348,0.895757788468044,0.373229748044625,0.671544437496975
"MCBB_Cerebellum_F",0.0917742054735537,1.7170121484715,0.0895055888994133,0.15628062843004
"MCBB_Cerebellum_M",0.0314036848324228,0.510303644364279,0.611300613371372,0.719733900455783
"ROSMAP_Dorsolateral prefrontal cortex_F",-0.136475419396011,-2.43849538849825,0.0158510778963549,0.0535634340580993
"ROSMAP_Dorsolateral prefrontal cortex_M",-0.0807183323188845,-0.955018989680629,0.342199945352685,0.78636322690977
"MSBB_BM10_F",0.0868507722726237,0.866894604353199,0.388138437470579,0.894920313814213
"MSBB_BM10_M",0.309692738242809,2.34879946341522,0.0224215766363872,0.119153192121209
"MSBB_BM22_F",-0.128729757658225,-1.3378935528638,0.18406042988589,0.444579484622162
"MSBB_BM22_M",0.0266051520243238,0.270019349293355,0.788067263657286,0.872424132913861
"MSBB_BM36_F",-0.196010955707215,-1.46267992626711,0.146558253679604,0.363732608286285
"MSBB_BM36_M",0.0378231106257019,0.275812065360459,0.783581333349595,0.855576512473271
"MSBB_BM44_F",-0.115684051979711,-1.69602493858581,0.0937902669475318,0.249950658420614
"MSBB_BM44_M",-0.0409393017220889,-0.661735665536456,0.511063526341231,0.619408071844334
