"","gene","MCBB_Temporal.cortex_F","MCBB_Temporal.cortex_M","MCBB_Cerebellum_F","MCBB_Cerebellum_M","ROSMAP_Dorsolateral.prefrontal.cortex_F","ROSMAP_Dorsolateral.prefrontal.cortex_M","MSBB_BM10_F","MSBB_BM10_M","MSBB_BM22_F","MSBB_BM22_M","MSBB_BM36_F","MSBB_BM36_M","MSBB_BM44_F","MSBB_BM44_M"
"1","ACACA",0.185730925218308,NA,0.342990706115812,NA,-0.155975239623031,NA,NA,NA,NA,NA,NA,-0.184713084461398,NA,NA
"2","FASN",0.237697171433427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GPAM",0.411874329807825,NA,NA,-0.238598882168946,0.411960775520999,NA,NA,NA,NA,NA,NA,0.489077838597734,NA,NA
"4","AGPAT1",NA,NA,-0.330688152799972,-0.388192050157476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LPIN1",0.36539346062025,NA,NA,0.179130666894827,NA,NA,NA,0.206124015201223,NA,NA,0.157498504894673,0.213824727398388,NA,0.169653789245396
"6","DGAT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PLIN2",0.364318598440115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395955675513643,NA,NA
"8","ABCA1",0.587127843296014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466775175508168,0.525561025272725,NA,0.333974638337995
"9","ABCA7",NA,NA,NA,0.489427380447856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","SREBF1",-0.379604938333554,NA,-0.640388514063461,NA,0.258922156300385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","SREBF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PNPLA2",NA,NA,-0.243187733447541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CPT1A",0.472587524165272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619536109677524,NA,NA
"14","ACAT1",NA,NA,NA,-0.217415197989124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","HMGCS1",NA,NA,NA,NA,-0.411173599170105,NA,NA,NA,NA,NA,NA,-0.431536832379665,NA,NA
"16","CDS1",NA,NA,0.441782276616399,NA,-0.186941232200278,NA,NA,NA,NA,NA,NA,-0.410298836143069,NA,-0.337988406675674
"17","CDS2",NA,NA,0.442081361936285,0.336716511907882,NA,NA,NA,NA,NA,NA,NA,-0.277527560514912,NA,NA
"18","PLPP1",0.577562897377631,0.44610601119338,0.405490181870217,0.199826502013522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PLPP3",0.539549580342886,NA,NA,-0.519274946237385,NA,NA,NA,NA,NA,NA,NA,0.442764133005526,NA,NA
"20","CDIPT",-0.237607195743216,NA,-0.391247284158689,-0.172978042832305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CEPT1",0.636822016396834,NA,0.629543682624625,0.301810625111623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PTDSS1",NA,NA,0.23907442437707,NA,-0.170528618921788,NA,NA,NA,NA,NA,NA,-0.443284824725795,NA,-0.380760940355779
"23","PGS1",0.218001515245528,NA,0.170010266769973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
