"","gene","MCBB_Temporal.cortex","MCBB_Cerebellum","ROSMAP_Dorsolateral.prefrontal.cortex","MSBB_BM10","MSBB_BM22","MSBB_BM36","MSBB_BM44"
"1","ACACA",0.158421062901877,0.288859887062171,NA,NA,-0.156715167596335,-0.135151227883141,NA
"2","FASN",0.208205398351526,NA,NA,NA,NA,NA,NA
"3","GPAM",0.389706376653364,-0.154997421012917,0.259976867443276,NA,NA,0.282493948717245,NA
"4","AGPAT1",-0.104563712058789,-0.323055121455829,-0.144961635150398,NA,NA,NA,-0.238896301659701
"5","LPIN1",0.297969714748123,0.166578751551495,0.12730613602627,0.169135475596208,0.115486786307576,0.189753322736761,0.143322216175819
"6","DGAT1",NA,NA,NA,NA,NA,NA,NA
"7","PLIN2",0.398931214836796,NA,0.275401858580251,NA,NA,0.38915130373028,NA
"8","ABCA1",0.544454236137478,NA,NA,NA,0.299521051331772,0.502017436435914,0.282593713882724
"9","ABCA7",NA,NA,NA,NA,NA,NA,NA
"10","SREBF1",NA,-0.481167820986264,NA,NA,NA,NA,NA
"11","SREBF2",NA,NA,-0.116616988204457,NA,NA,NA,NA
"12","PNPLA2",NA,NA,NA,NA,NA,NA,0.177204367017236
"13","CPT1A",0.414161481343249,NA,NA,NA,NA,0.379364081378422,NA
"14","ACAT1",NA,-0.109575716723693,NA,NA,-0.184164692135618,NA,-0.178897446238206
"15","HMGCS1",NA,NA,-0.305935596355516,NA,-0.350236013945142,-0.325831317407269,-0.407412607401013
"16","CDS1",NA,0.282418029003919,NA,NA,-0.381200626256383,-0.360536522980699,-0.208494797825816
"17","CDS2",0.154095658652237,0.403053133134271,NA,NA,-0.23741190734404,NA,-0.164852115360826
"18","PLPP1",0.531416701725659,0.333505854280069,NA,NA,NA,0.254719736082578,NA
"19","PLPP3",0.487601933312829,NA,NA,NA,NA,0.365815170395648,NA
"20","CDIPT",-0.144268929030308,-0.252260579743569,-0.126461068462039,NA,NA,NA,-0.201956121408491
"21","CEPT1",0.363813799207411,0.482291235833565,NA,NA,NA,NA,NA
"22","PTDSS1",NA,0.17774161001704,NA,NA,-0.301268752725058,-0.315563684225588,-0.300341595452668
"23","PGS1",0.173316771777733,0.178826983157069,NA,NA,NA,NA,NA
