"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000204310",0.137667421236911,4.00766684036897,2.43820924416183,0.0158793789120259,0.206137739141296,-3.15714251338039,"AGPAT1"
"ENSG00000147872",0.270504803056682,3.57077498311292,2.29687905825431,0.0229514224758911,0.22020094985892,-3.4373991787195,"PLIN2"
"ENSG00000110090",-0.189874869215457,6.17910883255375,-2.22330079484389,0.0276280682741896,0.228901742807944,-3.6286279482852,"CPT1A"
"ENSG00000278540",0.091331142810648,5.96783121493541,1.72439522533772,0.0866109358019439,0.329829695774069,-4.52571335711499,"ACACA"
"ENSG00000072310",-0.123386280496858,6.32884906012064,-1.33155027738152,0.184944184965076,0.443311708171624,-5.06705903061964,"SREBF1"
"ENSG00000169710",-0.109321052415278,7.46046369901361,-1.23461064240675,0.218825932289935,0.480014936423653,-5.14297407313116,"FASN"
"ENSG00000134324",-0.056562613611991,6.49859380612548,-1.10240262100595,0.271979049932819,0.52920403665597,-5.31941737256185,"LPIN1"
"ENSG00000185000",0.0446329840397661,5.09280110148736,0.979042433657963,0.329070001879851,0.580500596482955,-5.45763335943768,"DGAT1"
"ENSG00000177666",0.0387151394403,5.25421800627684,0.583847289074156,0.560163595864874,0.758072562752209,-5.7459428286447,"PNPLA2"
"ENSG00000119927",-0.0498167853831664,4.73864928208333,-0.493719223532438,0.622196655825843,0.799387852597101,-5.78136266641242,"GPAM"
"ENSG00000165029",0.0463885206555017,3.5638652130494,0.477259120989235,0.633843419942028,0.805601897863462,-5.70618451594639,"ABCA1"
"ENSG00000064687",-0.0378569885096303,5.35213555996381,-0.451061173544254,0.652569810674746,0.817672470181511,-5.81027824445919,"ABCA7"
"ENSG00000112972",0.0543815937837087,4.66875891682822,0.439536801394034,0.660878941222586,0.821642772094289,-5.79964875647979,"HMGCS1"
"ENSG00000198911",0.0173020890413849,7.72619586350418,0.339645188874221,0.734579113033427,0.863306133534502,-5.77578696064453,"SREBF2"
"ENSG00000075239",0.00689057203898713,5.0818150165785,0.173048331270328,0.862837041326495,0.931609211334884,-5.88909443059335,"ACAT1"
