"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000147872",0.50070372160646,4.02062482588769,3.31334072460832,0.00134643025297169,0.0451325976321496,-1.17075946837664,"PLIN2"
"ENSG00000165029",0.386299200113115,5.00568250837223,2.40707028618992,0.0182034005344663,0.153462422826569,-3.48612908257911,"ABCA1"
"ENSG00000110090",0.296983068807689,5.49363109650901,2.12703980554151,0.0362583012396047,0.215381730001425,-4.06316902976116,"CPT1A"
"ENSG00000134324",0.135886088484092,6.31217041325485,1.93305925205272,0.0564935716454604,0.264133619096344,-4.39007263129499,"LPIN1"
"ENSG00000177666",0.109461248582269,4.97084010107574,1.92389205927804,0.0576498850642449,0.26648075696472,-4.44812197810259,"PNPLA2"
"ENSG00000119927",0.22402892883304,5.5719021311063,1.70487338283121,0.091799998244326,0.327548067237182,-4.81348632924857,"GPAM"
"ENSG00000204310",-0.092843678076763,4.81761981852221,-1.40395874844279,0.163904077787221,0.422868793565709,-5.25558824328093,"AGPAT1"
"ENSG00000198911",-0.101732168029614,7.94410069576117,-1.18036491357602,0.241084300200577,0.501315706821102,-5.36648171906977,"SREBF2"
"ENSG00000075239",0.0607945618709325,5.49278692252474,1.05888581337701,0.292593798446012,0.551252527822146,-5.66350655188771,"ACAT1"
"ENSG00000278540",0.0482876777658161,6.49326173513338,0.62224862571825,0.53541190615242,0.743722777414968,-5.95884038634162,"ACACA"
"ENSG00000185000",-0.0337241657470786,4.74250967782598,-0.443796953800912,0.658295321548455,0.824226631204407,-6.10272166162404,"DGAT1"
"ENSG00000169710",0.0212767406654653,7.33570543057774,0.22631879487373,0.821486341438142,0.917491237826963,-6.05057822294647,"FASN"
"ENSG00000112972",0.0428726832630142,5.6456807756488,0.217110214152687,0.828632690280552,0.921308103362072,-6.17513513474918,"HMGCS1"
"ENSG00000072310",-0.0227642022005936,6.54158128935689,-0.147413733960449,0.883147832099995,0.946747064177723,-6.13008062614228,"SREBF1"
"ENSG00000064687",0.0106972411292103,4.0125461783609,0.0787701041689746,0.93739705292723,0.970408077296533,-6.1382123616551,"ABCA7"
