"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000204310",-0.388192050157476,4.44360964594311,-6.77904879402392,2.18352759971695e-09,2.31440278522499e-06,11.2355052469662,"AGPAT1"
"ENSG00000064687",0.489427380447856,5.46415213649123,3.82244261136913,0.000266613073371966,0.00278074484090724,0.0443823076669814,"ABCA7"
"ENSG00000075239",-0.217415197989124,5.31057297380459,-3.75231811278157,0.000338083375790126,0.00327257760846161,-0.175310047796219,"ACAT1"
"ENSG00000119927",-0.238598882168946,4.82977314192933,-2.84618071600662,0.00566997409595988,0.0244425751635444,-2.73959859366331,"GPAM"
"ENSG00000134324",0.179130666894827,6.91761089066605,2.70732840161776,0.00835398574197141,0.0321404818961191,-3.0971955516605,"LPIN1"
"ENSG00000072310",-0.360220983303696,5.6619273536501,-2.42524318533986,0.0176437274934232,0.0544234220736566,-3.78624641488369,"SREBF1"
"ENSG00000110090",-0.335635956807558,4.6155749953843,-2.3983967512114,0.0188911530767471,0.0572189025407157,-3.78808938894154,"CPT1A"
"ENSG00000278540",0.195076443067809,6.44149192680139,2.32601440201739,0.0226547739862983,0.0653538051247417,-3.99437744420057,"ACACA"
"ENSG00000177666",0.135619956156066,5.92519199363275,1.7501108948752,0.0840884031615409,0.17129792543142,-5.11075488284317,"PNPLA2"
"ENSG00000185000",0.116771878010325,5.6900985635125,1.67203637071215,0.0985820482859058,0.192131938598967,-5.23839186500473,"DGAT1"
"ENSG00000165029",-0.162737581600228,4.46087222625578,-1.07951395834026,0.283733321168873,0.414099259354812,-5.94946332591288,"ABCA1"
"ENSG00000112972",-0.127515178052591,5.24165117021635,-0.992556286914243,0.324039538207763,0.456124379852711,-6.10347313625463,"HMGCS1"
"ENSG00000169710",0.0581997283429239,8.71503977932591,0.530298671274856,0.597433048514418,0.707719053721588,-6.32882737673617,"FASN"
"ENSG00000198911",0.0314036848324228,8.27438506195606,0.510303644364279,0.611300613371372,0.719733900455783,-6.36752903639244,"SREBF2"
"ENSG00000147872",0.00522201350296214,2.9809767204707,0.0364442412667241,0.971022588605641,0.981595039618449,-6.30486131954839,"PLIN2"
