"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B"
"ENSG00000125885",1.05998625756253,4.72632715650517,10.6917621422542,1.60434786154569e-20,2.71150832079838e-16,36.0100123646177
"ENSG00000100207",0.55665813743712,6.09202203667629,9.522904410756,2.39195245970213e-17,1.72575942016139e-13,28.8744443421203
"ENSG00000173230",0.681690320129492,7.48383958141988,9.48277819855499,3.06329700046397e-17,1.72575942016139e-13,28.6317063156474
"ENSG00000160307",-0.868079881312017,8.19253163790508,-9.34801112157836,7.01666295244818e-17,2.92555759536897e-13,27.818600791425
"ENSG00000244124",0.884123030383475,2.25599752627828,9.31380427409179,8.65498371507299e-17,2.92555759536897e-13,27.4547410488747
"ENSG00000165406",0.569307492398428,6.53103567693873,9.20197386402382,1.71612384653016e-16,4.83403485503436e-13,26.9462592135627
"ENSG00000160991",0.702117251238337,6.64299525386868,9.17269709173397,2.0521285704672e-16,4.95471785278088e-13,26.7716653838131
"ENSG00000067057",0.865372580543056,7.26678544327046,9.1208769736694,2.81499272744565e-16,5.94702401081986e-13,26.4641066658168
"ENSG00000125462",-0.751928460575483,8.32519493516748,-9.07750084911177,3.66608863005526e-16,6.88450710406265e-13,26.2051895352336
"ENSG00000235423",0.694190392969696,1.77800243740023,9.00312930722706,5.76130910052774e-16,9.73718851080194e-13,25.5760006357384
"ENSG00000181555",0.520867818780099,6.93802493266372,8.80725659048156,1.88420700718928e-15,2.89499842077327e-12,24.6046067040487
"ENSG00000188107",0.798015288923088,2.45142370208296,8.77155611489983,2.33629417466141e-15,3.29047565382938e-12,24.3122305352794
"ENSG00000122484",0.54520697413649,6.87376329232302,8.75701464104437,2.54996760009411e-15,3.31515403147619e-12,24.3085006045024
"ENSG00000134245",0.53585988194385,3.49567115021677,8.74007851598272,2.82341186363909e-15,3.40846313624031e-12,24.2018257427185
"ENSG00000074590",0.708613238047927,6.8900829675865,8.72803596299803,3.03538425797055e-15,3.42006862293069e-12,24.1383948187918
"ENSG00000213976",1.01253403606735,2.25034614478827,8.67404296835295,4.19752395809672e-15,4.43389702598704e-12,23.7287931279055
"ENSG00000232439",0.930639566697945,0.950971944907236,8.57184318050319,7.73827924094447e-15,7.69321514418838e-12,22.9861890279075
"ENSG00000184677",0.426595080815475,5.84112221470123,8.539750991018,9.37208179508266e-15,8.79986413437178e-12,23.03177195949
"ENSG00000171467",0.527168624474757,6.04464513324079,8.51934623275194,1.05845747427846e-14,9.41525777514747e-12,22.9130854650602
"ENSG00000196705",0.443414341077641,5.61236104662688,8.48989105254051,1.26144156107613e-14,9.58793814130486e-12,22.7420901569361
"ENSG00000109906",0.85719475682532,5.8744073948451,8.4881824205655,1.27433636583711e-14,9.58793814130486e-12,22.7327594303469
"ENSG00000164684",0.502476253867851,7.62881036168299,8.48341007287776,1.31105002671136e-14,9.58793814130486e-12,22.7145552301505
"ENSG00000143127",0.870637555391248,3.76055883640585,8.47235876297536,1.40014900001793e-14,9.58793814130486e-12,22.6533862397126
"ENSG00000176087",-0.35585945713889,5.11896520056829,-8.47019914597278,1.41825012444602e-14,9.58793814130486e-12,22.630847403989
"ENSG00000164808",0.469265407715163,6.19162102580442,8.43508431138388,1.74737847708831e-14,1.1358632169719e-11,22.4232172160558
