"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000064687",0.194174697669253,5.38914957469864,1.63781960866878,0.103425982164154,0.999706558493397,-4.27682910027328,"ABCA7"
"ENSG00000204310",-0.0584477288758132,4.44006526737707,-1.21009416304449,0.228028847858657,0.999706558493397,-4.68567763372115,"AGPAT1"
"ENSG00000177666",0.07799163331521,6.00894726716909,1.03591452204196,0.301806317889774,0.999706558493397,-4.86486856507604,"PNPLA2"
"ENSG00000278540",0.0538804329310967,6.36736462157484,0.854367531793707,0.394179754959625,0.999706558493397,-4.98526108738467,"ACACA"
"ENSG00000072310",-0.0859876155295831,5.61325636502884,-0.686089889938772,0.493650176222923,0.999706558493397,-5.08432992981564,"SREBF1"
"ENSG00000134324",0.0349607242449981,6.91217038745126,0.68009936724169,0.497425160991623,0.999706558493397,-5.06982912537551,"LPIN1"
"ENSG00000147872",-0.0767192938458194,3.06953570277287,-0.647243614609981,0.518402529505208,0.999706558493397,-4.95143093636172,"PLIN2"
"ENSG00000075239",-0.0291790474664086,5.26601468960679,-0.591307555153847,0.555149467861469,0.999706558493397,-5.12317017880673,"ACAT1"
"ENSG00000110090",-0.0549534109170358,4.6822038101295,-0.486163405077979,0.627517010268238,0.999706558493397,-5.13797564027999,"CPT1A"
"ENSG00000119927",0.0237604314555178,4.76498761223225,0.330362976401768,0.741558223800474,0.999706558493397,-5.18570156343189,"GPAM"
"ENSG00000185000",0.0223131015410827,5.73794502042821,0.325918290891858,0.744912368135835,0.999706558493397,-5.22222079835089,"DGAT1"
"ENSG00000165029",-0.0247363944618897,4.42162005152978,-0.190721455893668,0.848985795702026,0.999706558493397,-5.19102198094826,"ABCA1"
"ENSG00000169710",-0.00781831321521942,8.66261022261807,-0.0855352029436643,0.931942931149595,0.999706558493397,-5.16726491159209,"FASN"
"ENSG00000198911",0.0020767895105962,8.18813394323958,0.0441197982711342,0.964863967298732,0.999706558493397,-5.18983721561173,"SREBF2"
"ENSG00000112972",0.00335329887801361,5.02992724509512,0.0274376558392273,0.978144882874018,0.999706558493397,-5.24032318923546,"HMGCS1"
